Group2,Day,RewardType1,RewardItemInfoId1,RewardCount1,RewardIcon1,RewardType2,RewardItemInfoId2,RewardCount2,RewardIcon2,RewardType3,RewardItemInfoId3,RewardCount3,RewardIcon3
201,2,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,Adena,,10000,Icon_Box_Adena_03
201,3,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,Adena,,10000,Icon_Box_Adena_03
201,4,FreeDiamond,,100,Icon_Asset_Diamond_02,Adena,,10000,Icon_Box_Adena_03,Item,490090,3,Icon_DailyDungeonSweepTicket
201,5,FreeDiamond,,100,Icon_Asset_Diamond_02,Adena,,10000,Icon_Box_Adena_03,Item,490090,3,Icon_DailyDungeonSweepTicket
201,6,FreeDiamond,,100,Icon_Asset_Diamond_02,Adena,,10000,Icon_Box_Adena_03,Item,490090,3,Icon_DailyDungeonSweepTicket
201,7,Adena,,10000,Icon_Box_Adena_03,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02
201,8,Adena,,10000,Icon_Box_Adena_03,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02
201,9,Adena,,10000,Icon_Box_Adena_03,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02
201,10,Adena,,10000,Icon_Box_Adena_03,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02
16,1,Item,110900003,1,Icon_GachaItem_EquipmentA,,,,,,,,
16,2,Item,900010,5,Icon_Gacha_EnchantScroll,,,,,,,,
16,3,Item,910259,1,Icon_Shop_Gacha_Equipment_01,,,,,,,,
16,4,Item,490011,5,Icon_Box_Adena_03,,,,,,,,
16,5,Item,910124,1,Icon_GachaItem_AccA,,,,,,,,
16,6,Item,520085,10,Icon_Box_Legion2,,,,,,,,
16,7,Item,910134,1,Icon_GachaItem_AccS,,,,,,,,
