Id,ActNo,ChapterNo,ActImg,ActNameKey,ChapterNameKey,RewardExp,RewardAdena,RewardParam1,RewardCount1,RewardParam2,RewardCount2,RewardParam3,RewardCount3
41,5,3,UI_Map_QuestProgress_05,391000000005,392000000041,40200,4100,910008,1,480004,1,400001,90
42,5,4,UI_Map_QuestProgress_05,391000000005,392000000042,40200,4200,460008,1,480005,1,400001,90
43,5,5,UI_Map_QuestProgress_05,391000000005,392000000043,40200,4200,500502,2,480005,1,400001,90
44,5,6,UI_Map_QuestProgress_05,391000000005,392000000044,40200,4400,460008,1,480006,1,400001,90
45,5,7,UI_Map_QuestProgress_05,391000000005,392000000045,40200,4400,500502,2,480005,1,400001,90
46,5,8,UI_Map_QuestProgress_05,391000000005,392000000046,40200,4500,910008,1,480005,1,400001,90
47,5,9,UI_Map_QuestProgress_05,391000000005,392000000047,40200,4600,460008,1,480006,1,400001,90
48,5,10,UI_Map_QuestProgress_05,391000000005,392000000048,40200,4600,500502,2,480008,1,400001,90
49,6,1,UI_Map_QuestProgress_06,391000000006,10011707,42800,4600,460008,1,480007,1,400001,90
50,6,2,UI_Map_QuestProgress_06,391000000006,392000000050,42800,4700,420002,1,480008,1,400001,90
51,6,3,UI_Map_QuestProgress_06,391000000006,392000000051,42800,4700,460008,1,480008,1,400001,90
52,6,4,UI_Map_QuestProgress_06,391000000006,10010606,42800,4800,500602,2,480007,1,400001,90
53,6,5,UI_Map_QuestProgress_06,391000000006,392000000053,42800,4800,460008,1,480008,1,400001,90
54,6,6,UI_Map_QuestProgress_06,391000000006,392000000054,42800,4900,910203,1,480008,1,400001,90
55,6,7,UI_Map_QuestProgress_06,391000000006,392000000055,42800,5300,460008,1,480009,1,400001,90
56,6,8,UI_Map_QuestProgress_06,391000000006,392000000056,42800,5400,500602,2,480008,1,400001,90
57,6,9,UI_Map_QuestProgress_06,391000000006,392000000057,42800,5500,460008,1,480008,1,400001,90
58,6,10,UI_Map_QuestProgress_06,391000000006,392000000058,42800,5600,420001,1,480007,1,400001,90
59,7,1,UI_Map_QuestProgress_07,391000000007,392000000059,45200,5700,500702,2,480008,1,400001,120
60,7,2,UI_Map_QuestProgress_07,391000000007,392000000060,45200,5700,460008,1,480008,1,400001,120
61,7,3,UI_Map_QuestProgress_07,391000000007,392000000061,45200,5800,490005,50,480007,1,400001,120
62,7,4,UI_Map_QuestProgress_07,391000000007,392000000062,45200,5800,460008,1,480008,1,400001,120
63,7,5,UI_Map_QuestProgress_07,391000000007,392000000063,45200,5800,500702,2,480008,1,400001,120
64,7,6,UI_Map_QuestProgress_07,391000000007,392000000064,45200,6100,910203,1,480009,1,400001,120
65,7,7,UI_Map_QuestProgress_07,391000000007,392000000065,45200,6300,460008,1,480008,1,400001,120
66,7,8,UI_Map_QuestProgress_07,391000000007,392000000066,45200,6400,400002,100,480008,1,400001,120
67,7,9,UI_Map_QuestProgress_07,391000000007,392000000067,45200,6400,500702,2,480007,1,400001,120
68,8,1,UI_Map_QuestProgress_08,391000000008,392000000068,45200,6600,420002,2,480008,1,400001,120
69,8,2,UI_Map_QuestProgress_08,391000000008,392000000069,45200,6600,500802,2,480008,1,400001,120
70,8,3,UI_Map_QuestProgress_08,391000000008,392000000070,45200,6700,460008,1,480007,1,400001,120
71,8,4,UI_Map_QuestProgress_08,391000000008,392000000071,45200,6700,420001,2,480008,1,400001,120
72,8,5,UI_Map_QuestProgress_08,391000000008,392000000072,45200,6900,500802,2,480008,1,400001,120
73,8,6,UI_Map_QuestProgress_08,391000000008,392000000073,45200,7400,460008,1,480009,1,400001,120
74,8,7,UI_Map_QuestProgress_08,391000000008,392000000074,45200,7600,420003,1,480008,1,400001,120
75,8,8,UI_Map_QuestProgress_08,391000000008,392000000075,45200,7600,410001,1,480008,1,400001,120
76,8,9,UI_Map_QuestProgress_08,391000000008,392000000076,45200,7600,460008,1,480007,1,400001,120
77,9,1,UI_Map_QuestProgress_09,391000000009,392000000077,45200,7600,500902,2,480012,1,400001,120
78,9,2,UI_Map_QuestProgress_09,391000000009,392000000078,45200,7600,410003,1,480011,1,400001,120
79,9,3,UI_Map_QuestProgress_09,391000000009,392000000079,45200,7600,460008,1,480011,1,400001,120
80,9,4,UI_Map_QuestProgress_09,391000000009,392000000078,45200,7700,500902,2,480010,1,400001,120
81,9,5,UI_Map_QuestProgress_09,391000000009,392000000080,45200,7700,460008,2,480011,1,400001,120
82,9,6,UI_Map_QuestProgress_09,391000000009,392000000081,52200,7800,500902,2,480011,1,400001,120
83,9,7,UI_Map_QuestProgress_09,391000000009,392000000082,53900,7800,410001,2,480012,1,400001,120
84,9,8,UI_Map_QuestProgress_09,391000000009,392000000083,61900,7800,460008,1,480011,1,400001,120
85,10,1,UI_Map_QuestProgress_10,391000000010,392000000084,61900,7900,501002,2,480010,1,400001,120
86,10,2,UI_Map_QuestProgress_10,391000000010,392000000085,64400,8100,460008,1,480012,1,400001,120
87,10,3,UI_Map_QuestProgress_10,391000000010,392000000086,64400,8500,460008,1,480012,1,400001,120
88,10,4,UI_Map_QuestProgress_10,391000000010,392000000087,64400,8500,501002,2,480012,1,400001,120
89,10,5,UI_Map_QuestProgress_10,391000000010,392000000088,76800,8600,420001,1,480012,1,400001,120
90,10,6,UI_Map_QuestProgress_10,391000000010,392000000089,76800,9400,460008,1,480012,1,400001,120
91,10,7,UI_Map_QuestProgress_10,391000000010,392000000090,76800,10100,501002,2,480012,1,400001,120
92,10,8,UI_Map_QuestProgress_10,391000000010,392000000091,76800,10600,910204,1,480012,1,400001,120
93,10,9,UI_Map_QuestProgress_10,391000000010,392000000092,126100,11100,460008,1,480012,1,400001,120
94,11,1,UI_Map_QuestProgress_11,391000000011,392000000093,80500,11340,501102,2,480012,1,400001,150
95,11,2,UI_Map_QuestProgress_11,391000000011,392000000094,80500,10080,460008,1,480011,1,400001,150
96,11,3,UI_Map_QuestProgress_11,391000000011,392000000095,81300,10080,501102,2,480011,1,400001,150
97,11,4,UI_Map_QuestProgress_11,391000000011,392000000096,81300,11340,460008,1,480010,1,400001,150
98,11,5,UI_Map_QuestProgress_11,391000000011,392000000097,81300,8820,400002,100,480011,1,400001,150
99,11,6,UI_Map_QuestProgress_11,391000000011,392000000098,81300,8820,460008,1,480011,1,400001,150
100,11,7,UI_Map_QuestProgress_11,391000000011,392000000099,81300,10260,501102,2,480012,1,400001,150
101,11,8,UI_Map_QuestProgress_11,391000000011,392000000100,82500,14040,460008,1,480011,1,400001,150
102,11,9,UI_Map_QuestProgress_11,391000000011,392000000101,82500,14040,420001,1,480011,1,400001,150
103,11,10,UI_Map_QuestProgress_11,391000000011,392000000102,83000,10260,460008,1,480010,1,400001,150
104,12,1,UI_Map_QuestProgress_12,391000000012,392000000103,83600,9180,501202,2,480012,1,400001,150
105,12,2,UI_Map_QuestProgress_12,391000000012,392000000104,83600,10260,410003,1,480011,1,400001,150
106,12,3,UI_Map_QuestProgress_12,391000000012,392000000105,83600,10260,501202,2,480011,1,400001,150
107,12,4,UI_Map_QuestProgress_12,391000000012,392000000106,84200,7920,460008,1,480010,1,400001,150
108,12,5,UI_Map_QuestProgress_12,391000000012,392000000107,84200,11340,410001,2,480011,1,400001,150
109,12,6,UI_Map_QuestProgress_12,391000000012,392000000108,85200,10260,460008,1,480011,1,400001,150
110,12,7,UI_Map_QuestProgress_12,391000000012,392000000109,85200,10260,501202,2,480012,1,400001,150
111,12,8,UI_Map_QuestProgress_12,391000000012,392000000110,86400,10260,460008,1,480011,1,400001,150
112,12,9,UI_Map_QuestProgress_12,391000000012,392000000111,86400,10260,410002,2,480011,1,400001,150
113,12,10,UI_Map_QuestProgress_12,391000000012,392000000112,86500,11520,501202,2,480010,1,400001,150
114,12,11,UI_Map_QuestProgress_12,391000000012,392000000113,86500,11520,460008,1,480011,1,400001,150
115,13,1,UI_Map_QuestProgress_13,391000000013,392000000114,86700,10440,501302,2,480012,1,400001,150
116,13,2,UI_Map_QuestProgress_13,391000000013,392000000115,86700,12960,420003,2,480011,1,400001,150
117,13,3,UI_Map_QuestProgress_13,391000000013,392000000116,86900,11700,460008,1,480011,1,400001,150
118,13,4,UI_Map_QuestProgress_13,391000000013,392000000117,86900,10440,501302,2,480010,1,400001,150
119,13,5,UI_Map_QuestProgress_13,391000000013,392000000118,87400,11700,460008,1,480011,1,400001,150
120,13,6,UI_Map_QuestProgress_13,391000000013,392000000119,87400,11700,420002,2,480011,1,400001,150
121,13,7,UI_Map_QuestProgress_13,391000000013,392000000120,88000,13140,460008,1,480012,1,400001,150
122,13,8,UI_Map_QuestProgress_13,391000000013,392000000121,88000,11880,501302,2,480011,1,400001,150
123,13,9,UI_Map_QuestProgress_13,391000000013,392000000122,88300,14400,460008,1,480011,1,400001,150
124,14,1,UI_Map_QuestProgress_14,391000000014,392000000123,88300,8280,501402,2,480012,1,400001,150
125,14,2,UI_Map_QuestProgress_14,391000000014,392000000124,88700,9360,460008,1,480011,1,400001,150
126,14,3,UI_Map_QuestProgress_14,391000000014,392000000125,88700,10260,501402,2,480011,1,400001,150
127,14,4,UI_Map_QuestProgress_14,391000000014,392000000126,89300,10260,420001,2,480010,1,400001,150
128,14,5,UI_Map_QuestProgress_14,391000000014,392000000127,89300,8280,460008,1,480011,1,400001,150
129,14,6,UI_Map_QuestProgress_14,391000000014,392000000128,89300,8280,400002,150,480011,1,400001,150
130,14,7,UI_Map_QuestProgress_14,391000000014,392000000129,89300,9360,501402,2,480012,1,400001,150
131,14,8,UI_Map_QuestProgress_14,391000000014,392000000130,90000,11340,460008,1,480011,1,400001,150
132,14,9,UI_Map_QuestProgress_14,391000000014,392000000131,90000,11340,501402,2,480011,1,400001,150
133,14,10,UI_Map_QuestProgress_14,391000000014,392000000132,90200,9360,460008,1,480010,1,400001,150
134,15,1,UI_Map_QuestProgress_15,391000000015,392000000134,95000,20880,501502,2,480015,1,400001,180
135,15,2,UI_Map_QuestProgress_15,391000000015,392000000135,106100,21060,460008,1,480014,1,400001,180
136,15,3,UI_Map_QuestProgress_15,391000000015,392000000136,106100,21240,501502,2,480014,1,400001,180
137,15,4,UI_Map_QuestProgress_15,391000000015,392000000137,106800,25560,510008,1,480013,1,400001,180
138,15,5,UI_Map_QuestProgress_15,391000000015,392000000138,107800,28080,460008,1,480014,1,400001,180
139,15,6,UI_Map_QuestProgress_15,391000000015,392000000139,109000,23760,510101,10,480014,1,400001,180
140,15,7,UI_Map_QuestProgress_15,391000000015,392000000140,110700,19620,501502,2,480015,1,400001,180
141,15,8,UI_Map_QuestProgress_15,391000000015,392000000141,115000,19620,460008,1,480014,1,400001,180
142,15,9,UI_Map_QuestProgress_15,391000000015,392000000142,118400,19800,501502,2,480014,1,400001,180
143,15,10,UI_Map_QuestProgress_15,391000000015,392000000143,118400,21960,460008,1,480013,1,400001,180
144,16,1,UI_Map_QuestProgress_16,391000000016,392000000144,123900,24480,501602,2,480015,1,400001,180
145,16,2,UI_Map_QuestProgress_16,391000000016,392000000145,127800,22680,510101,10,480014,1,400001,180
146,16,3,UI_Map_QuestProgress_16,391000000016,392000000146,140000,19080,501602,2,480014,1,400001,180
147,16,4,UI_Map_QuestProgress_16,391000000016,392000000147,146300,17100,911024,50,480013,1,400001,180
148,16,5,UI_Map_QuestProgress_16,391000000016,392000000148,149000,21060,460008,1,480014,1,400001,180
149,16,6,UI_Map_QuestProgress_16,391000000016,392000000149,153100,21060,510102,10,480014,1,400001,180
150,16,7,UI_Map_QuestProgress_16,391000000016,392000000150,159300,23040,501602,2,480015,1,400001,180
151,16,8,UI_Map_QuestProgress_16,391000000016,392000000151,166900,15480,460008,1,480014,1,400001,180
152,16,9,UI_Map_QuestProgress_16,391000000016,392000000152,166900,21240,510011,1,480014,1,400001,180
153,16,10,UI_Map_QuestProgress_16,391000000016,392000000153,172800,23220,460008,1,480013,1,400001,180
154,17,1,UI_Map_QuestProgress_17,391000000017,392000000154,180800,18360,501702,2,480015,1,400001,180
155,17,2,UI_Map_QuestProgress_17,391000000017,392000000155,187900,23040,510101,10,480014,1,400001,180
156,17,3,UI_Map_QuestProgress_17,391000000017,392000000156,191000,16020,501702,2,480014,1,400001,180
157,17,4,UI_Map_QuestProgress_17,391000000017,392000000157,191000,25380,460008,1,480013,1,400001,180
158,17,5,UI_Map_QuestProgress_17,391000000017,392000000158,196600,25380,510102,10,480014,1,400001,180
159,17,6,UI_Map_QuestProgress_17,391000000017,392000000159,204100,27720,460008,1,480014,1,400001,180
160,17,7,UI_Map_QuestProgress_17,391000000017,392000000160,210700,23220,501702,2,480015,1,400001,180
161,17,8,UI_Map_QuestProgress_17,391000000017,392000000161,216300,23220,460008,1,480014,1,400001,180
162,17,9,UI_Map_QuestProgress_17,391000000017,392000000162,221200,27900,510101,10,480014,1,400001,180
163,17,10,UI_Map_QuestProgress_17,391000000017,392000000163,227900,23400,501702,2,480013,1,400001,180
164,17,11,UI_Map_QuestProgress_17,391000000017,392000000164,227900,25740,460008,1,480014,1,400001,180
165,18,1,UI_Map_QuestProgress_18,391000000018,392000000165,230100,32220,501802,2,480013,1,400001,200
166,18,2,UI_Map_QuestProgress_18,391000000018,392000000166,246400,32940,510102,10,480014,1,400001,200
167,18,3,UI_Map_QuestProgress_18,391000000018,392000000167,248400,33300,460008,1,480015,1,400001,200
168,18,4,UI_Map_QuestProgress_18,391000000018,392000000168,258000,30420,501802,2,480013,1,400001,200
169,18,5,UI_Map_QuestProgress_18,391000000018,392000000169,275800,38520,460008,1,480014,1,400001,200
170,19,1,UI_Map_QuestProgress_19,391000000019,392000000170,283400,36180,510101,10,480014,1,400001,200
171,19,2,UI_Map_QuestProgress_19,391000000019,392000000171,293900,36180,501902,2,480015,1,400001,200
172,19,3,UI_Map_QuestProgress_19,391000000019,392000000172,300700,28980,510009,1,480014,1,400001,200
173,19,4,UI_Map_QuestProgress_19,391000000019,392000000173,311600,36180,460008,1,480013,1,400001,200
174,19,5,UI_Map_QuestProgress_19,391000000019,392000000174,312400,36180,510101,10,480014,1,400001,200
175,19,6,UI_Map_QuestProgress_19,391000000019,392000000175,313100,36360,501902,2,480015,1,400001,200
176,19,7,UI_Map_QuestProgress_19,391000000019,392000000176,313700,36360,510102,10,480014,1,400001,200
177,19,8,UI_Map_QuestProgress_19,391000000019,392000000177,314100,36360,460008,1,480013,1,400001,200
178,19,9,UI_Map_QuestProgress_19,391000000019,392000000178,314500,36360,501902,2,480014,1,400001,200
179,19,10,UI_Map_QuestProgress_19,391000000019,392000000179,314800,36360,510101,10,480015,1,400001,200
180,19,11,UI_Map_QuestProgress_19,391000000019,392000000180,315000,36360,510101,10,480014,1,400001,200
181,19,12,UI_Map_QuestProgress_19,391000000019,392000000181,315100,36360,460008,1,480013,1,400001,200
182,19,13,UI_Map_QuestProgress_19,391000000019,392000000182,334700,32760,510011,1,480015,1,400001,200
183,20,1,UI_Map_QuestProgress_20,391000000020,392000000183,340000,40680,502002,2,480013,1,400001,200
184,20,2,UI_Map_QuestProgress_20,391000000020,392000000184,345400,41040,510102,10,480014,1,400001,200
185,20,3,UI_Map_QuestProgress_20,391000000020,392000000185,345500,41220,460008,1,480015,1,400001,200
186,20,4,UI_Map_QuestProgress_20,391000000020,392000000186,347000,41580,502002,2,480014,1,400001,200
187,20,5,UI_Map_QuestProgress_20,391000000020,392000000187,352400,41940,510101,10,480013,1,400001,200
188,20,6,UI_Map_QuestProgress_20,391000000020,392000000188,352400,42660,460008,1,480014,1,400001,200
189,20,7,UI_Map_QuestProgress_20,391000000020,392000000189,352400,43020,510101,10,480015,1,400001,200
190,20,8,UI_Map_QuestProgress_20,391000000020,392000000190,354900,43560,502002,2,480014,1,400001,200
191,20,9,UI_Map_QuestProgress_20,391000000020,392000000191,371400,43740,510102,10,480013,1,400001,200
192,20,10,UI_Map_QuestProgress_20,391000000020,392000000192,403100,48600,460008,1,480015,1,400001,200
