Lv,AdenaTier0,AdenaTier1,AdenaTier2,AdenaTier3,SPTier0,SPTier1,SPTier2,SPTier3,GuildAdenaTier0,GuildAdenaTier1,GuildAdenaTier2,GuildAdenaTier3,GuildAdenaTier4,GuildAdenaTier5,ItemInfoIdTier3,ItemCountTier3
63,0,63000,69000,0,0,390,420,0,0,0,0,0,0,0,490096,1
64,0,64000,70000,0,0,395,425,0,0,0,0,0,0,0,490096,1
65,0,65000,71000,0,0,400,430,0,0,0,0,0,0,0,490096,1
66,0,66000,72000,0,0,405,435,0,0,0,0,0,0,0,490096,1
67,0,67000,73000,0,0,410,440,0,0,0,0,0,0,0,490096,1
68,0,68000,74000,0,0,415,445,0,0,0,0,0,0,0,490096,1
69,0,69000,75000,0,0,420,450,0,0,0,0,0,0,0,490096,1
70,0,70000,76000,0,0,425,455,0,0,0,0,0,0,0,490096,1
71,0,71000,77000,0,0,430,460,0,0,0,0,0,0,0,490096,1
72,0,72000,78000,0,0,435,465,0,0,0,0,0,0,0,490096,1
73,0,73000,79000,0,0,440,470,0,0,0,0,0,0,0,490096,1
74,0,74000,80000,0,0,445,475,0,0,0,0,0,0,0,490096,1
75,0,75000,81000,0,0,450,480,0,0,0,0,0,0,0,490096,1
76,0,76000,82000,0,0,455,485,0,0,0,0,0,0,0,490096,1
77,0,77000,83000,0,0,460,490,0,0,0,0,0,0,0,490096,1
78,0,78000,84000,0,0,465,495,0,0,0,0,0,0,0,490096,1
79,0,79000,85000,0,0,470,500,0,0,0,0,0,0,0,490096,1
80,0,80000,86000,0,0,475,505,0,0,0,0,0,0,0,490096,1
81,0,81000,87000,0,0,480,510,0,0,0,0,0,0,0,490096,1
82,0,82000,88000,0,0,485,515,0,0,0,0,0,0,0,490096,1
83,0,83000,89000,0,0,490,520,0,0,0,0,0,0,0,490096,1
84,0,84000,90000,0,0,495,525,0,0,0,0,0,0,0,490096,1
85,0,85000,91000,0,0,500,530,0,0,0,0,0,0,0,490096,1
86,0,86000,92000,0,0,505,535,0,0,0,0,0,0,0,490096,1
87,0,87000,93000,0,0,510,540,0,0,0,0,0,0,0,490096,1
88,0,88000,94000,0,0,515,545,0,0,0,0,0,0,0,490096,1
89,0,89000,95000,0,0,520,550,0,0,0,0,0,0,0,490096,1
90,0,90000,96000,0,0,525,555,0,0,0,0,0,0,0,490096,1
91,0,91000,97000,0,0,530,560,0,0,0,0,0,0,0,490096,1
92,0,92000,98000,0,0,535,565,0,0,0,0,0,0,0,490096,1
93,0,93000,99000,0,0,540,570,0,0,0,0,0,0,0,490096,1
94,0,94000,100000,0,0,545,575,0,0,0,0,0,0,0,490096,1
95,0,95000,0,0,0,550,0,0,0,0,0,0,0,0,490096,1
96,0,96000,0,0,0,555,0,0,0,0,0,0,0,0,490096,1
97,0,97000,0,0,0,560,0,0,0,0,0,0,0,0,490096,1
98,0,98000,0,0,0,565,0,0,0,0,0,0,0,0,490096,1
99,0,99000,0,0,0,570,0,0,0,0,0,0,0,0,490096,1
100,0,100000,0,0,0,575,0,0,0,0,0,0,0,0,490096,1
