GroupID,RewardType,RewardItemInfoId,RewardCount,RewardIcon
67,Item,490020,1,Icon_Box_Rune_02
67,Item,910255,1,Icon_Shop_Gacha_Armor_01
68,Item,500401,3,Icon_QuestScroll_S
68,Item,911200,1,Icon_Box_BossReward
68,Item,910256,1,Icon_Box_SP_03
68,Item,490020,1,Icon_Box_Rune_02
68,Item,910255,1,Icon_Shop_Gacha_Armor_01
69,Item,500401,3,Icon_QuestScroll_S
69,Item,911200,1,Icon_Box_BossReward
69,Item,910256,1,Icon_Box_SP_03
69,Item,490020,1,Icon_Box_Rune_02
69,Item,910255,1,Icon_Shop_Gacha_Armor_01
70,Item,500401,3,Icon_QuestScroll_S
70,Item,911200,1,Icon_Box_BossReward
70,Item,910256,1,Icon_Box_SP_03
70,Item,490020,1,Icon_Box_Rune_02
70,Item,910255,1,Icon_Shop_Gacha_Armor_01
95,Item,500401,3,Icon_QuestScroll_S
95,Item,911200,1,Icon_Box_BossReward
95,Item,910256,1,Icon_Box_SP_03
95,Item,490020,1,Icon_Box_Rune_02
95,Item,910255,1,Icon_Shop_Gacha_Armor_01
96,Item,500401,3,Icon_QuestScroll_S
96,Item,911200,1,Icon_Box_BossReward
96,Item,910256,1,Icon_Box_SP_03
96,Item,490020,1,Icon_Box_Rune_02
96,Item,910255,1,Icon_Shop_Gacha_Armor_01
97,Item,500401,3,Icon_QuestScroll_S
97,Item,911200,1,Icon_Box_BossReward
97,Item,910256,1,Icon_Box_SP_03
97,Item,490020,1,Icon_Box_Rune_02
97,Item,910255,1,Icon_Shop_Gacha_Armor_01
98,Item,500401,3,Icon_QuestScroll_S
98,Item,911200,1,Icon_Box_BossReward
98,Item,910256,1,Icon_Box_SP_03
98,Item,490020,1,Icon_Box_Rune_02
98,Item,910255,1,Icon_Shop_Gacha_Armor_01
99,Item,500401,3,Icon_QuestScroll_S
99,Item,911200,1,Icon_Box_BossReward
99,Item,910256,1,Icon_Box_SP_03
99,Item,490020,1,Icon_Box_Rune_02
99,Item,910255,1,Icon_Shop_Gacha_Armor_01
100,Item,500401,3,Icon_QuestScroll_S
100,Item,911200,1,Icon_Box_BossReward
100,Item,910256,1,Icon_Box_SP_03
100,Item,490020,1,Icon_Box_Rune_02
100,Item,910255,1,Icon_Shop_Gacha_Armor_01
