Id,GroupId,Name,UnusedGrade,ItemGrade,ItemMaxGrade
10309,54,AUCTION_SUB_GROUP_ANTTUNNEL1,0,A,A
10310,54,AUCTION_SUB_GROUP_ANTTUNNEL2,0,A,R
10311,54,AUCTION_SUB_GROUP_PASTURE,0,C,S
10312,54,AUCTION_SUB_GROUP_CRUMASWAMP,0,C,S
10313,54,AUCTION_SUB_GROUP_PEAKSOFSTRUGGLE,0,C,S
10314,54,AUCTION_SUB_GROUP_SCREAM,0,C,R
10315,54,AUCTION_SUB_GROUP_CRUMATOWER2,0,A,A
10316,54,AUCTION_SUB_GROUP_CRUMATOWER3,0,A,R
10317,54,AUCTION_SUB_GROUP_GIRANDOMINION,0,C,S
10318,54,AUCTION_SUB_GROUP_DEATHCOASTALFOG,0,C,S
10319,54,AUCTION_SUB_GROUP_DEVILISLE,0,C,B
10320,54,AUCTION_SUB_GROUP_ROADSIDEOFDEATH,0,C,S
10321,54,AUCTION_SUB_GROUP_NORTHWIND,0,C,B
10322,54,AUCTION_SUB_GROUP_LANDOFSTOPPEDTIME,0,C,B
10323,54,AUCTION_SUB_GROUP_IVORYTOWER,0,C,B
10324,54,AUCTION_SUB_GROUP_IVORYTOBASEMENT1,0,A,A
10325,54,AUCTION_SUB_GROUP_IVORYTOBASEMENT2,0,A,A
10326,54,AUCTION_SUB_GROUP_IVORYTOBASEMENT3,0,A,A
10327,54,AUCTION_SUB_GROUP_SECRETFOREST1,0,A,A
10328,54,AUCTION_SUB_GROUP_SECRETFOREST2,0,A,A
10329,54,AUCTION_SUB_GROUP_IVORYTOBASEMENT_CONFLICT,0,A,A
10330,54,AUCTION_SUB_GROUP_SECRETFOREST_CONFLICT,0,A,A
10331,54,AUCTION_SUB_GROUP_DRAGONVALLEY,0,C,B
10332,54,AUCTION_SUB_GROUP_PROMISEDLAND,0,C,B
10333,54,AUCTION_SUB_GROUP_OLDDRAGONMOUNTAIN,0,C,B
10334,54,AUCTION_SUB_GROUP_CAVEOFDRAGON1,0,A,A
10335,54,AUCTION_SUB_GROUP_CAVEOFDRAGON2,0,A,A
10336,54,AUCTION_SUB_GROUP_CAVEOFDRAGON_CONFLICT,0,A,A
10390,54,AUCTION_SUB_GROUP_PARTYDUNGEON,0,S,S
10401,55,AUCTION_SUB_GROUP_SKILLBOOK,1,,
10402,55,AUCTION_SUB_GROUP_SKILLBOOKPAGE,1,,
10501,56,AUCTION_SUB_GROUP_POTION,1,,
10502,56,AUCTION_SUB_GROUP_SUMMONGEM,1,A,R
10503,56,AUCTION_SUB_GROUP_QUESTSCROLL,0,A,S
10590,56,AUCTION_SUB_GROUP_USEITEM_ETC,1,,
10701,57,ACCTION_SUB_GROUP_TALISMAN,1,Rank1,Rank3
10601,99,AUCTION_SUB_GROUP_ETC_CRAFTING,0,S,UR
10602,99,AUCTION_SUB_GROUP_ETC_PET,0,S,UR
10603,99,AUCTION_SUB_GROUP_ETC_GUILD,1,,
10604,99,AUCTION_SUB_GROUP_ETC_BOX,0,S,UR
9901,99,AUCTION_SUB_GROUP_ETC,1,,
