GroundObjectId,Id,CollisionUnitType,CollisionUnitParam,EffectType,EffectTypeNameKey,EffectParam,EffectGrowth1,EffectGrowth2
4654,46542,,,Buff,0,1011,1,1
112541,1125411,,,Buff,0,112541,1,1
112541,1125412,,,DamageMag,0,"87260, 606221, 26000, 44200",1,1
112542,1125421,,,DamageMag,0,"174520, 1212442, 52000, 88400",1,1
112542,1125422,,,Buff,0,1001,1,1
112544,1125441,,,Buff,0,112544,1,1
112545,1125451,,,Buff,0,112545,1,1
12214,122141,,,Buff,0,12214,,
12253,122531,,,DamageMag,0,"56096, 433015, 19500, 33200",1,1
12253,122532,,,Buff,0,122531,1,1
14224,142241,,,DamagePhy,0,"65023, 368087, 19300, 32800",1,1
14224,142242,,,Buff,0,14224,1,1
14234,142341,,,DamagePhy,0,"132222, 927879, 50000, 85000",1,1
14234,142342,,,Buff,0,14234,1,1
14235,142351,,,Buff,0,142351,1,1
14235,142352,,,Buff,0,142352,1,1
14236,142361,,,DamagePhy,0,1.32223e+21,1,1
14236,142362,,,Buff,0,14234,1,1
14236,142363,,,Buff,0,142351,1,1
14236,142364,,,Buff,0,142352,1,1
14243,142431,,,DamagePhy,0,"104897, 809737, 42000, 71400",1,1
14243,142432,,,Buff,0,1012,1,
14254,142541,,,DamageMag,0,"79562, 747540, 26000, 47500",1,1
14254,142542,,,Buff,0,142542,1,1
14254,142543,,,Buff,0,142543,1,1
14254,142544,,,Buff,0,142544,1,1
14254,142545,,,Buff,0,142545,1,1
14264,142641,,,HPHeal,0,"7776, 64923, 200, 1000",1,1
14264,142642,,,Buff,0,14264,,
58176,581761,,,DamagePhy,0,"0, 0, 30000, 30000",,
60159,601591,,,DamageMag,0,"0, 0, 15000, 15000",,
71580,715801,,,DamagePhy,0,"0, 0, 40000, 40000",,
71580,715802,,,Buff,0,71580,,
60177,601771,,,DamagePhy,0,"0, 0, 6000, 6000",,
60177,601772,,,Buff,0,601771,,
401114,4011141,,,DamageMag,0,"0, 0, 9000, 9000",,
730212,7302121,,,DamagePhy,0,"0, 0, 20000, 20000",,
731351,7313511,,,DamagePhy,0,"0, 0, 50000, 50000",,
731401,7314011,,,DamagePhy,0,"0, 0, 10000, 10000",,
1540031,15400311,,,DamageMag,0,"0, 0, 4000, 4000",,
601651,6016511,,,DamageMag,0,"0, 0, 10000, 10000",,
58182,581821,,,DamagePhy,0,"0, 0, 7600, 7600",1,1
415004,4150041,,,DamageMag,0,"0, 0, 5000, 5000",,
415012,4150121,,,DecreaseTargetHP,0,7000,,
415023,4150232,,,DamageMag,0,"0, 0, 25000, 25000",,
415023,4150233,,,Buff,0,415018,,
40020101,400201011,,,Buff,0,40020101,,
40020109,400201091,,,DamagePhy,0,"0, 0, 60000, 60000",,
40020109,400201092,,,Buff,0,1001,,
40020111,400201111,,,DamageMag,0,"0, 0, 40000, 40000",,
40020111,400201112,,,Buff,0,1001,,
40020126,400201261,,,DamageMag,0,"0, 0, 30000, 30000",,
40020129,400201291,,,DamageMag,0,"0, 0, 100000, 100000",,
40020155,400201551,,,DamageMag,0,"0, 0, 40000, 40000",,
40020161,400201611,,,DamageMag,0,"0, 0, 150000, 150000",,
40020162,400201621,,,DamageMag,0,"0, 0, 150000, 150000",,
40020163,400201631,,,DamageMag,0,"0, 0, 150000, 150000",,
40020164,400201641,,,DamageMag,0,"0, 0, 150000, 150000",,
40020167,400201671,,,Buff,0,"40020167, 40020124",,
40020131,400201311,,,DamageMag,0,"0, 0, 30000, 30000",,
40020173,400201731,,,DamagePhy,0,"0, 0, 45000, 45000",,
40020201,400202011,,,Buff,0,40020201,,
40020209,400202091,,,DamagePhy,0,"0, 0, 60000, 60000",,
40020209,400202092,,,Buff,0,1001,,
40020211,400202111,,,DamageMag,0,"0, 0, 40000, 40000",,
40020211,400202112,,,Buff,0,1001,,
40020226,400202261,,,DamageMag,0,"0, 0, 30000, 30000",,
40020229,400202291,,,DamageMag,0,"0, 0, 100000, 100000",,
40020255,400202551,,,DamageMag,0,"0, 0, 40000, 40000",,
40020261,400202611,,,DamageMag,0,"0, 0, 150000, 150000",,
40020262,400202621,,,DamageMag,0,"0, 0, 150000, 150000",,
40020263,400202631,,,DamageMag,0,"0, 0, 150000, 150000",,
40020264,400202641,,,DamageMag,0,"0, 0, 150000, 150000",,
40020267,400202671,,,Buff,0,"40020267, 40020224",,
40020231,400202311,,,DamageMag,0,"0, 0, 30000, 30000",,
40020273,400202731,,,DamagePhy,0,"0, 0, 45000, 45000",,
40020301,400203011,,,Buff,0,40020301,,
40020309,400203091,,,DamagePhy,0,"0, 0, 60000, 60000",,
40020309,400203092,,,Buff,0,1001,,
40020311,400203111,,,DamageMag,0,"0, 0, 40000, 40000",,
40020311,400203112,,,Buff,0,1001,,
40020326,400203261,,,DamageMag,0,"0, 0, 30000, 30000",,
40020329,400203291,,,DamageMag,0,"0, 0, 100000, 100000",,
40020355,400203551,,,DamageMag,0,"0, 0, 40000, 40000",,
40020361,400203611,,,DamageMag,0,"0, 0, 300000, 300000",,
40020362,400203621,,,DamageMag,0,"0, 0, 300000, 300000",,
40020363,400203631,,,DamageMag,0,"0, 0, 300000, 300000",,
40020364,400203641,,,DamageMag,0,"0, 0, 300000, 300000",,
40020367,400203671,,,Buff,0,"40020367, 40020324",,
40020331,400203311,,,DamageMag,0,"0, 0, 30000, 30000",,
40020373,400203731,,,DamagePhy,0,"0, 0, 45000, 45000",,
40020401,400204011,,,Buff,0,40020401,,
40020409,400204091,,,DamagePhy,0,"0, 0, 60000, 60000",,
40020409,400204092,,,Buff,0,1001,,
40020411,400204111,,,DamageMag,0,"0, 0, 40000, 40000",,
40020411,400204112,,,Buff,0,1001,,
40020426,400204261,,,DamageMag,0,"0, 0, 30000, 30000",,
40020429,400204291,,,DamageMag,0,"0, 0, 50000, 50000",,
40020455,400204551,,,DamageMag,0,"0, 0, 40000, 40000",,
40020461,400204611,,,DamageMag,0,"0, 0, 300000, 300000",,
40020462,400204621,,,DamageMag,0,"0, 0, 300000, 300000",,
40020463,400204631,,,DamageMag,0,"0, 0, 300000, 300000",,
40020464,400204641,,,DamageMag,0,"0, 0, 300000, 300000",,
40020467,400204671,,,Buff,0,"40020467, 40020424",,
40020431,400204311,,,DamageMag,0,"0, 0, 30000, 30000",,
40020473,400204731,,,DamagePhy,0,"0, 0, 45000, 45000",,
24500502,245005021,,,DamageMag,0,"0, 0, 20000, 20000",,
24500901,245009011,,,DamageMag,0,"0, 0, 26000, 26000",,
24601904,246019041,,,DecreaseTargetHPMul,0,"5000, 5000, 1",,
24601604,246016041,,,DamageMag,0,"0, 0, 30000, 30000",,
245015071,2.45015e+09,,,DamageMag,0,"0, 0, 44000, 44000",,
24501602,245016021,,,DamagePhy,0,"0, 0, 21600, 21600",,
24801002,248010021,,,DamageMag,0,"0, 0, 70000, 70000",,
24801004,248010041,,,DamageMag,0,"0, 0, 48000, 48000",,
990131,9901311,,,DamagePhy,0,"0, 0, 1890, 2040",,
990131,9901312,,,DamageMag,0,"0, 0, 1890, 2040",,
990131,9901313,,,Buff,0,9901311,,
990132,9901321,,,DamagePhy,0,"0, 0, 1930, 2080",,
990132,9901322,,,DamageMag,0,"0, 0, 1930, 2080",,
990132,9901323,,,Buff,0,9901311,,
990133,9901331,,,DamagePhy,0,"0, 0, 1970, 2120",,
990133,9901332,,,DamageMag,0,"0, 0, 1970, 2120",,
990133,9901333,,,Buff,0,9901311,,
990134,9901341,,,DamagePhy,0,"0, 0, 2010, 2160",,
990134,9901342,,,DamageMag,0,"0, 0, 2010, 2160",,
990134,9901343,,,Buff,0,9901311,,
990135,9901351,,,DamagePhy,0,"0, 0, 2050, 2200",,
990135,9901352,,,DamageMag,0,"0, 0, 2050, 2200",,
990135,9901353,,,Buff,0,9901311,,
990136,9901361,,,DamagePhy,0,"0, 0, 2090, 2240",,
990136,9901362,,,DamageMag,0,"0, 0, 2090, 2240",,
990136,9901363,,,Buff,0,9901311,,
990137,9901371,,,DamagePhy,0,"0, 0, 2130, 2280",,
990137,9901372,,,DamageMag,0,"0, 0, 2130, 2280",,
990137,9901373,,,Buff,0,9901311,,
990138,9901381,,,DamagePhy,0,"0, 0, 2170, 2320",,
990138,9901382,,,DamageMag,0,"0, 0, 2170, 2320",,
990138,9901383,,,Buff,0,9901311,,
990139,9901391,,,DamagePhy,0,"0, 0, 2210, 2360",,
990139,9901392,,,DamageMag,0,"0, 0, 2210, 2360",,
990139,9901393,,,Buff,0,9901311,,
990140,9901401,,,DamagePhy,0,"0, 0, 2250, 2400",,
990140,9901402,,,DamageMag,0,"0, 0, 2250, 2400",,
990140,9901403,,,Buff,0,9901311,,
990141,9901411,,,DamagePhy,0,"0, 0, 2290, 2440",,
990141,9901412,,,DamageMag,0,"0, 0, 2290, 2440",,
990141,9901413,,,Buff,0,9901311,,
990142,9901421,,,DamagePhy,0,"0, 0, 2330, 2480",,
990142,9901422,,,DamageMag,0,"0, 0, 2330, 2480",,
990142,9901423,,,Buff,0,9901311,,
990143,9901431,,,DamagePhy,0,"0, 0, 2370, 2520",,
990143,9901432,,,DamageMag,0,"0, 0, 2370, 2520",,
990143,9901433,,,Buff,0,9901311,,
990144,9901441,,,DamagePhy,0,"0, 0, 2410, 2560",,
990144,9901442,,,DamageMag,0,"0, 0, 2410, 2560",,
990144,9901443,,,Buff,0,9901311,,
990145,9901451,,,DamagePhy,0,"0, 0, 2450, 2600",,
990145,9901452,,,DamageMag,0,"0, 0, 2450, 2600",,
990145,9901453,,,Buff,0,9901311,,
990146,9901461,,,DamagePhy,0,"0, 0, 2490, 2640",,
990146,9901462,,,DamageMag,0,"0, 0, 2490, 2640",,
990146,9901463,,,Buff,0,9901311,,
990147,9901471,,,DamagePhy,0,"0, 0, 2530, 2680",,
990147,9901472,,,DamageMag,0,"0, 0, 2530, 2680",,
990147,9901473,,,Buff,0,9901311,,
990148,9901481,,,DamagePhy,0,"0, 0, 2570, 2720",,
990148,9901482,,,DamageMag,0,"0, 0, 2570, 2720",,
990148,9901483,,,Buff,0,9901311,,
990149,9901491,,,DamagePhy,0,"0, 0, 2610, 2760",,
990149,9901492,,,DamageMag,0,"0, 0, 2610, 2760",,
990149,9901493,,,Buff,0,9901311,,
990150,9901501,,,DamagePhy,0,"0, 0, 2650, 2800",,
990150,9901502,,,DamageMag,0,"0, 0, 2650, 2800",,
990150,9901503,,,Buff,0,9901311,,
990151,9901511,,,DamagePhy,0,"0, 0, 2690, 2840",,
990151,9901512,,,DamageMag,0,"0, 0, 2690, 2840",,
990151,9901513,,,Buff,0,9901311,,
990152,9901521,,,DamagePhy,0,"0, 0, 2730, 2880",,
990152,9901522,,,DamageMag,0,"0, 0, 2730, 2880",,
990152,9901523,,,Buff,0,9901311,,
990153,9901531,,,DamagePhy,0,"0, 0, 2770, 2920",,
990153,9901532,,,DamageMag,0,"0, 0, 2770, 2920",,
990153,9901533,,,Buff,0,9901311,,
990154,9901541,,,DamagePhy,0,"0, 0, 2810, 2960",,
990154,9901542,,,DamageMag,0,"0, 0, 2810, 2960",,
990154,9901543,,,Buff,0,9901311,,
990155,9901551,,,DamagePhy,0,"0, 0, 2850, 3000",,
990155,9901552,,,DamageMag,0,"0, 0, 2850, 3000",,
990155,9901553,,,Buff,0,9901311,,
990156,9901561,,,DamagePhy,0,"0, 0, 2890, 3040",,
990156,9901562,,,DamageMag,0,"0, 0, 2890, 3040",,
990156,9901563,,,Buff,0,9901311,,
990157,9901571,,,DamagePhy,0,"0, 0, 2930, 3080",,
990157,9901572,,,DamageMag,0,"0, 0, 2930, 3080",,
990157,9901573,,,Buff,0,9901311,,
990158,9901581,,,DamagePhy,0,"0, 0, 2970, 3120",,
990158,9901582,,,DamageMag,0,"0, 0, 2970, 3120",,
990158,9901583,,,Buff,0,9901311,,
990159,9901591,,,DamagePhy,0,"0, 0, 3010, 3160",,
990159,9901592,,,DamageMag,0,"0, 0, 3010, 3160",,
990159,9901593,,,Buff,0,9901311,,
990160,9901601,,,DamagePhy,0,"0, 0, 3050, 3200",,
990160,9901602,,,DamageMag,0,"0, 0, 3050, 3200",,
990160,9901603,,,Buff,0,9901311,,
990161,9901611,,,DamagePhy,0,"0, 0, 3050, 3200",,
990161,9901612,,,DamageMag,0,"0, 0, 3050, 3200",,
990161,9901613,,,Buff,0,9901312,,
45000416,450004161,,,DamageMag,0,"0, 0, 50000, 50000",,
45000417,450004171,,,DamageMag,0,"0, 0, 50000, 50000",,
45000419,450004191,,,Buff,0,450004191,,
45000425,450004251,,,DamageMag,0,"0, 0, 25000, 25000",,
45000459,450004591,,,DamageMag,0,"0, 0, 100000, 100000",,
45000460,450004601,,,DamageMag,0,"0, 0, 100000, 100000",,
45000461,450004611,,,DamageMag,0,"0, 0, 100000, 100000",,
45000462,450004621,,,DamageMag,0,"0, 0, 100000, 100000",,
45000463,450004631,,,DamageMag,0,"0, 0, 100000, 100000",,
45000464,450004641,,,DamageMag,0,"0, 0, 100000, 100000",,
45000465,450004651,,,DamageMag,0,"0, 0, 100000, 100000",,
45000466,450004661,,,DamageMag,0,"0, 0, 100000, 100000",,
45000467,450004671,,,DamageMag,0,"0, 0, 100000, 100000",,
45000469,450004691,,,DamageMag,0,"0, 0, 100000, 100000",,
45000470,450004701,,,DamageMag,0,"0, 0, 100000, 100000",,
45000471,450004711,,,DamageMag,0,"0, 0, 100000, 100000",,
45000472,450004721,,,DamageMag,0,"0, 0, 100000, 100000",,
45000473,450004731,,,DamageMag,0,"0, 0, 100000, 100000",,
45000474,450004741,,,DamageMag,0,"0, 0, 100000, 100000",,
45000475,450004751,,,DamageMag,0,"0, 0, 100000, 100000",,
45000495,450004951,,,DecreaseTargetHPMul,0,"7000, 7000, 1",,
45000449,450004491,,,DamageMag,0,"0, 0, 100000, 100000",,
11242,112424,,,Buff,0,112424,1,1
12212,122124,,,Buff,0,1011,,
12212,122125,,,Buff,0,122125,,
805000,8050001,,,DamagePhy,0,"0, 0, 10000, 10000",1,1
805000,8050002,,,DamageMag,0,"0, 0, 10000, 10000",1,1
805001,8050011,,,DamagePhy,0,"0, 0, 10000, 10000",1,1
805001,8050012,,,DamageMag,0,"0, 0, 10000, 10000",1,1
805002,8050021,,,DamagePhy,0,"0, 0, 10000, 10000",1,1
805002,8050022,,,DamageMag,0,"0, 0, 10000, 10000",1,1
805003,8050031,,,DamagePhy,0,"0, 0, 10000, 10000",1,1
805003,8050032,,,DamageMag,0,"0, 0, 10000, 10000",1,1
