Rank,StatType,StatValue
29,AttackPowerPhy,6990
29,AttackPowerMag,6990
29,DefensePowerPhy,8050
29,DefensePowerMag,8050
29,MaxHP,10510
29,MaxMP,10510
29,Resilience,8990
30,AttackPowerPhy,7370
30,AttackPowerMag,7370
30,DefensePowerPhy,8480
30,DefensePowerMag,8480
30,MaxHP,11070
30,MaxMP,11070
30,Resilience,9480
31,AttackPowerPhy,7750
31,AttackPowerMag,7750
31,DefensePowerPhy,8920
31,DefensePowerMag,8920
31,MaxHP,11640
31,MaxMP,11640
31,Resilience,9970
32,AttackPowerPhy,8140
32,AttackPowerMag,8140
32,DefensePowerPhy,9370
32,DefensePowerMag,9370
32,MaxHP,12230
32,MaxMP,12230
32,Resilience,10470
33,AttackPowerPhy,8530
33,AttackPowerMag,8530
33,DefensePowerPhy,9820
33,DefensePowerMag,9820
33,MaxHP,12820
33,MaxMP,12820
33,Resilience,10980
34,AttackPowerPhy,8940
34,AttackPowerMag,8940
34,DefensePowerPhy,10280
34,DefensePowerMag,10280
34,MaxHP,13420
34,MaxMP,13420
34,Resilience,11500
35,AttackPowerPhy,9340
35,AttackPowerMag,9340
35,DefensePowerPhy,10750
35,DefensePowerMag,10750
35,MaxHP,14040
35,MaxMP,14040
35,Resilience,12020
36,AttackPowerPhy,9760
36,AttackPowerMag,9760
36,DefensePowerPhy,11230
36,DefensePowerMag,11230
36,MaxHP,14660
36,MaxMP,14660
36,Resilience,12550
37,AttackPowerPhy,10180
37,AttackPowerMag,10180
37,DefensePowerPhy,11710
37,DefensePowerMag,11710
37,MaxHP,15290
37,MaxMP,15290
37,Resilience,13090
38,AttackPowerPhy,10600
38,AttackPowerMag,10600
38,DefensePowerPhy,12200
38,DefensePowerMag,12200
38,MaxHP,15930
38,MaxMP,15930
38,Resilience,13640
39,AttackPowerPhy,11030
39,AttackPowerMag,11030
39,DefensePowerPhy,12700
39,DefensePowerMag,12700
39,MaxHP,16570
39,MaxMP,16570
39,Resilience,14200
40,AttackPowerPhy,11470
40,AttackPowerMag,11470
40,DefensePowerPhy,13200
40,DefensePowerMag,13200
40,MaxHP,17230
40,MaxMP,17230
40,Resilience,14760
41,AttackPowerPhy,11910
41,AttackPowerMag,11910
41,DefensePowerPhy,13710
41,DefensePowerMag,13710
41,MaxHP,17900
41,MaxMP,17900
41,Resilience,15330
42,AttackPowerPhy,12360
42,AttackPowerMag,12360
42,DefensePowerPhy,14220
42,DefensePowerMag,14220
42,MaxHP,18570
42,MaxMP,18570
42,Resilience,15910
43,AttackPowerPhy,12810
43,AttackPowerMag,12810
43,DefensePowerPhy,14740
43,DefensePowerMag,14740
43,MaxHP,19250
43,MaxMP,19250
43,Resilience,16490
44,AttackPowerPhy,13270
44,AttackPowerMag,13270
44,DefensePowerPhy,15270
44,DefensePowerMag,15270
44,MaxHP,19940
44,MaxMP,19940
44,Resilience,17080
45,AttackPowerPhy,13740
45,AttackPowerMag,13740
45,DefensePowerPhy,15810
45,DefensePowerMag,15810
45,MaxHP,20640
45,MaxMP,20640
45,Resilience,17680
46,AttackPowerPhy,14210
46,AttackPowerMag,14210
46,DefensePowerPhy,16350
46,DefensePowerMag,16350
46,MaxHP,21340
46,MaxMP,21340
46,Resilience,18280
47,AttackPowerPhy,14680
47,AttackPowerMag,14680
47,DefensePowerPhy,16890
47,DefensePowerMag,16890
47,MaxHP,22060
47,MaxMP,22060
47,Resilience,18890
48,AttackPowerPhy,15160
48,AttackPowerMag,15160
48,DefensePowerPhy,17450
48,DefensePowerMag,17450
48,MaxHP,22780
48,MaxMP,22780
48,Resilience,19510
49,AttackPowerPhy,15650
49,AttackPowerMag,15650
49,DefensePowerPhy,18000
49,DefensePowerMag,18000
49,MaxHP,23510
49,MaxMP,23510
49,Resilience,20140
50,AttackPowerPhy,16140
50,AttackPowerMag,16140
50,DefensePowerPhy,18570
50,DefensePowerMag,18570
50,MaxHP,24240
50,MaxMP,24240
50,Resilience,20770
