Id,ActorWorldId,WorldInfoId,Type,PrevWorldSpotInfoId,NextWorldSpotInfoId,ActorPosX,ActorPosY,PosX,PosY,SpotNameKey,SpotTexture,SpotTitleKey,NameDirection,DescKey,UseTeleportScroll,ClearRewardType,ClearRewardCount,ClearRewardTargetInfoId,IconTexture
404,,4,Quest,,,-31935,3650,-31935,3650,151000000404,Gludio,152000000404,Right,0,1,,,,UI_Icon_MinimapSpottClear
497,,4,Quest,,,11859,10830,11859,10830,151000000497,Gludio,152000000497,Right,0,1,,,,UI_Icon_MinimapSpottClear
498,,4,Fortress,,,,,,,151000000002,Gludio,152000000498,Right,0,1,,,,
499,,4,Castle,,,,,,,151000000499,Gludio,152000000499,Right,0,1,,,,
501,,5,Quest,,,98345,70861,98345,70861,151000000501,Gludio,152000000501,Bottom,0,1,,,,UI_Icon_MinimapSpottClear
502,,5,Quest,,,63434,59967,63434,59967,151000000502,Gludio,152000000502,Right,0,1,,,,UI_Icon_MinimapSpottClear
503,,5,Quest,,,79433,52978,79433,52978,151000000503,Gludio,152000000503,Left,0,1,,,,UI_Icon_MinimapSpottClear
504,,5,Quest,,,47397,44424,47397,44424,151000000504,Gludio,152000000504,Left,0,1,,,,UI_Icon_MinimapSpottClear
598,,5,Fortress,,,,,,,151000000003,Gludio,152000000598,Right,0,1,,,,
601,,6,Quest,,,78704,57604,78704,57604,151000000601,Gludio,152000000601,Left,0,1,,,,UI_Icon_MinimapSpottClear
602,,6,Quest,,,58450,58930,58450,58930,151000000602,Gludio,152000000602,Right,0,1,,,,UI_Icon_MinimapSpottClear
603,,6,Quest,,,26151,50071,26151,50071,151000000603,Gludio,152000000603,Left,0,1,,,,UI_Icon_MinimapSpottClear
697,,6,Quest,,,36573,61819,36573,61819,151000000697,Gludio,152000000697,Top,0,1,,,,UI_Icon_MinimapSpottClear
698,,6,Fortress,,,,,,,151000000004,Gludio,152000000698,Right,0,1,,,,
701,,7,Quest,,,-46682,-4537,-46682,-4537,151000000701,Dion,152000000701,Right,0,1,,,,UI_Icon_MinimapSpottClear
702,,7,Quest,,,-21827,1183,-21827,1183,151000000702,Dion,152000000702,Right,0,1,,,,UI_Icon_MinimapSpottClear
703,,7,Quest,,,9584,14471,9584,14471,151000000703,Dion,152000000703,Right,0,1,,,,UI_Icon_MinimapSpottClear
704,,7,Quest,,,-7285,-11041,-7285,-11041,151000000704,Dion,152000000704,Right,0,1,,,,UI_Icon_MinimapSpottClear
797,,7,Quest,,,-6371,3525,-6371,3525,151000000797,Dion,152000000797,Right,0,1,,,,UI_Icon_MinimapSpottClear
798,,7,Fortress,,,,,,,151000000005,Dion,152000000798,Right,0,1,,,,
799,,7,Castle,,,,,,,151000000799,Dion,152000000799,Right,0,1,,,,
801,,8,Quest,,,28480,29515,28480,29515,151000000801,Dion,152000000801,Right,0,1,,,,UI_Icon_MinimapSpottClear
802,,8,Quest,,,63427,21237,63427,21237,151000000802,Dion,152000000802,Right,0,1,,,,UI_Icon_MinimapSpottClear
803,,8,Quest,,,66457,42035,66457,42035,151000000803,Dion,152000000803,Right,0,1,,,,UI_Icon_MinimapSpottClear
897,,8,Quest,,,48608,28868,48608,28868,151000000897,Dion,152000000897,Right,0,1,,,,UI_Icon_MinimapSpottClear
898,,8,Fortress,,,,,,,151000000006,Dion,152000000898,Right,0,1,,,,
901,,9,Quest,,,-18415,35586,-18415,35586,151000000901,Dion,152000000901,Top,0,1,,,,UI_Icon_MinimapSpottClear
902,,9,Quest,,,-8933,17021,-8933,17021,151000000902,Dion,152000000902,Left,0,1,,,,UI_Icon_MinimapSpottClear
903,,9,Quest,,,11250,-5616,11250,-5616,151000000903,Dion,152000000903,Right,0,1,,,,UI_Icon_MinimapSpottClear
904,,9,Quest,,,17815,27548,17815,27548,151000000904,Dion,152000000904,Right,0,1,,,,UI_Icon_MinimapSpottClear
998,,9,Fortress,,,,,,,151000000007,Dion,152000000998,Right,0,1,,,,
1001,,10,Quest,,,26343,-9859,26343,-9859,151000001001,Dion,152000001001,Left,0,1,,,,UI_Icon_MinimapSpottClear
1002,,10,Quest,,,8305,-2355,8305,-2355,151000001002,Dion,152000001002,Right,0,1,,,,UI_Icon_MinimapSpottClear
1003,,10,Quest,,,44360,17528,44360,17528,151000001003,Dion,152000001003,Right,0,1,,,,UI_Icon_MinimapSpottClear
1004,,10,Quest,,,29950,38908,29950,38908,151000001004,Dion,152000001004,Right,0,1,,,,UI_Icon_MinimapSpottClear
1098,,10,Fortress,,,,,,,151000000008,Dion,152000001098,Right,0,1,,,,
1101,,11,Quest,,,-35766,-288,-35766,-288,151000001101,Giran,152000001101,Right,0,1,,,,UI_Icon_MinimapSpottClear
1102,,11,Quest,,,9687,-15439,9687,-15439,151000001102,Giran,152000001102,Right,0,1,,,,UI_Icon_MinimapSpottClear
1103,,11,Quest,,,-2643,1264,-2643,1264,151000001103,Giran,152000001103,Right,0,1,,,,UI_Icon_MinimapSpottClear
1104,,11,Quest,,,-23126,15327,-23126,15327,151000001104,Giran,152000001104,Right,0,1,,,,UI_Icon_MinimapSpottClear
1197,,11,Quest,,,-7187,-25368,-7187,-25368,151000001197,Giran,152000001197,Right,0,1,,,,UI_Icon_MinimapSpottClear
1198,,11,Fortress,,,,,,,151000000009,Giran,152000001198,Right,0,1,,,,
1199,,11,Castle,,,,,,,151000001199,Giran,152000001199,Right,0,1,,,,
1201,,12,Quest,,,34147,28399,34147,28399,151000001201,Giran,152000001201,Bottom,0,1,,,,UI_Icon_MinimapSpottClear
1202,,12,Quest,,,10306,16948,10306,16948,151000001202,Giran,152000001202,Right,0,1,,,,UI_Icon_MinimapSpottClear
1203,,12,Quest,,,-10025,9144,-10025,9144,151000001203,Giran,152000001203,Right,0,1,,,,UI_Icon_MinimapSpottClear
1297,,12,Quest,,,5808,-791,5808,-791,151000000897,Giran,151000000897,Right,0,1,,,,UI_Icon_MinimapSpottClear
1298,,12,Fortress,,,,,,,151000000010,Giran,152000001298,Right,0,1,,,,
1301,,13,Quest,,,-21101,18128,-21101,18128,151000001301,Giran,152000001301,Right,0,1,,,,UI_Icon_MinimapSpottClear
1302,,13,Quest,,,-1452,16206,-1452,16206,151000001302,Giran,152000001302,Right,0,1,,,,UI_Icon_MinimapSpottClear
1303,,13,Quest,,,18230,3425,18230,3425,151000001303,Giran,152000001303,Left,0,1,,,,UI_Icon_MinimapSpottClear
1398,,13,Fortress,,,,,,,151000000011,Giran,152000001398,Right,0,1,,,,
1401,,14,Quest,,,-24707,22326,-24707,22326,151000001401,Giran,152000001401,Right,0,1,,,,UI_Icon_MinimapSpottClear
1403,,14,Quest,,,-2201,1491,-2201,1491,151000001403,Giran,152000001403,Left,0,1,,,,UI_Icon_MinimapSpottClear
1404,,14,Quest,,,15104,13864,15104,13864,151000001404,Giran,152000001404,Right,0,1,,,,UI_Icon_MinimapSpottClear
1405,,14,Quest,,,-39651,-350,-39651,-350,151000001405,Giran,152000001405,Right,0,1,,,,UI_Icon_MinimapSpottClear
1402,,14,Quest,,,-18384,4082,-18384,4082,151000001402,Giran,152000001402,Right,0,1,,,,UI_Icon_MinimapSpottClear
1406,,14,Quest,,,24890,-11010,24890,-11010,151000001406,Giran,151000001406,Left,0,1,,,,UI_Icon_MinimapSpottClear
1498,,14,Fortress,,,,,,,151000000012,Giran,152000001498,Bottom,0,1,,,,
1501,,15,Quest,,,-29908,38137,-29908,38137,151000001501,Oren,152000001501,Right,0,1,,,,UI_Icon_MinimapSpottClear
1503,,15,Quest,,,-9426,9866,-9426,9866,151000001503,Oren,152000001503,Left,0,1,,,,UI_Icon_MinimapSpottClear
1502,,15,Quest,,,-9692,30998,-9692,30998,151000001502,Oren,152000001502,Right,0,1,,,,UI_Icon_MinimapSpottClear
1597,,15,Quest,,,-4240,14145,-4240,14145,151000001597,Oren,152000001597,Right,0,1,,,,UI_Icon_MinimapSpottClear
1598,,15,Fortress,,,,,,,151000000014,Oren,152000001598,Right,0,1,,,,
1599,,15,Castle,,,,,,,151000001599,Oren,152000001599,Right,0,1,,,,
1601,,16,Quest,,,7680,30215,7680,30215,151000001601,Oren,152000001601,Right,0,1,,,,UI_Icon_MinimapSpottClear
1602,,16,Quest,,,-806,6334,-806,6334,151000001602,Oren,152000001602,Right,0,1,,,,UI_Icon_MinimapSpottClear
1603,,16,Quest,,,11707,19984,11707,19984,151000001603,Oren,152000001603,Right,0,1,,,,UI_Icon_MinimapSpottClear
1697,,16,Quest,,,-6655,16399,-6655,16399,151000001697,Oren,152000001697,Left,0,1,,,,UI_Icon_MinimapSpottClear
1698,,16,Fortress,,,,,,,151000000015,Oren,152000001698,Right,0,1,,,,
1701,,17,Quest,,,-19798,18869,-19798,18869,151000001701,Oren,152000001701,Top,0,1,,,,UI_Icon_MinimapSpottClear
1702,,17,Quest,,,-10597,27256,-10597,27256,151000001702,Oren,152000001702,Right,0,1,,,,UI_Icon_MinimapSpottClear
1703,,17,Quest,,,13233,24420,13233,24420,151000001703,Oren,152000001703,Right,0,1,,,,UI_Icon_MinimapSpottClear
1798,,17,Fortress,,,,,,,151000000016,Oren,152000001798,Right,0,1,,,,
1801,,18,Quest,,,-12620,964,-12620,964,151000001801,Giran,152000001801,Right,0,1,,,,UI_Icon_MinimapSpottClear
1802,,18,Quest,,,-3390,-11397,-3390,-11397,151000001802,Giran,152000001802,Right,0,1,,,,UI_Icon_MinimapSpottClear
1803,,18,Quest,,,9604,-7225,9604,-7225,151000001803,Giran,152000001803,Right,0,1,,,,UI_Icon_MinimapSpottClear
1898,,18,Fortress,,,,,,,151000000013,Giran,152000001898,Right,0,1,,,,
10000,,20000,Portal,,,,,-9625,-10930,151000020000,,151000020000,Right,0,0,,,,
10001,,20001,Portal,,,,,-9625,-10930,151000020000,,151000020000,Right,0,0,,,,
10002,,20002,Portal,,,,,-9625,-10930,151000020000,,151000020000,Right,0,0,,,,
20001,200,200,Portal,,,704,-72,704,-72,151000020001,TalkingIsland,152000020001,Bottom,0,0,,,,
20101,201,201,Portal,,,32305,13557,32305,13557,151000020101,TalkingIsland,152000020101,Bottom,0,0,,,,
20201,202,202,Portal,,,-13717,-2062,-13717,-2062,151000020201,Gludio,152000020201,Left,0,0,,,,
20301,203,203,Portal,,,-1574,5651,-1574,5651,151000020301,Gludio,152000020301,Left,0,0,,,,
20401,204,204,Portal,,,,740,0,740,151000020401,Dion,152000020401,Left,0,0,,,,
20501,205,205,Portal,,,13730,19020,13730,19020,151000020501,Dion,152000020501,Left,0,0,,,,
20601,206,206,Portal,,,-16842,33184,-16842,33184,151000020601,Oren,152000020601,Left,0,0,,,,
20701,207,207,Portal,,,9989,46386,9989,46386,151000020701,Oren,152000020701,Left,0,0,,,,
30000,1,2,Portal,,,-743,-462,6555,42403,0,Dion,152000030000,Left,153000030000,0,Adena,0,,
30001,1,3,Portal,,,9907,45422,-58288,20367,0,Dion,152000030001,Left,153000030001,0,Adena,0,,
30002,2,1,Portal,,,6553,43183,-985,1,0,Dion,152000030002,Right,153000030002,0,Adena,0,,
30007,3,1,Portal,,,-57889,20681,9900,45046,0,Dion,152000030007,Right,153000030007,0,Adena,0,,
30008,3,4,Portal,,,36841,-39914,-5882,24003,0,Dion,152000030008,Left,153000030008,0,Adena,0,,
30009,4,3,Portal,,,-6077,24631,36806,-39065,0,Dion,152000030009,Left,153000030009,0,Adena,0,,
30010,4,5,Portal,,,10367,21413,98362,70152,0,Dion,152000030010,Right,153000030010,0,Adena,0,,
30011,5,4,Portal,,,98945,69274,10376,20768,0,Dion,152000030011,Left,153000030011,0,Adena,0,,
30012,5,6,Portal,,,42777,48912,80039,55568,0,Dion,152000030012,Left,153000030012,0,Adena,0,,
30013,6,5,Portal,,,80570,54852,43611,48832,0,Dion,152000030010,Left,153000030013,0,Adena,0,,
30014,6,7,Portal,,,48823,76531,-47176,-3732,0,Dion,152000030014,Right,153000030014,0,Adena,0,,
30021,7,6,Portal,,,-48297,-4093,48960,75734,0,Dion,152000030012,Left,153000030021,0,Adena,0,,
30022,7,8,Portal,,,633,-22354,25566,29789,0,Dion,152000030022,Left,153000030022,0,Adena,0,,
30023,8,7,Portal,,,24721,29950,413,-21552,0,Dion,152000030014,Right,153000030023,0,Adena,0,,
30024,8,9,Portal,,,70390,61729,-22053,34586,0,Dion,152000030024,Left,153000030024,0,Adena,0,,
30029,9,8,Portal,,,-22850,34649,70234,60870,0,Dion,152000030022,Bottom,153000030029,0,Adena,0,,
30030,9,10,Portal,,,6754,32661,28580,-8859,0,Dion,152000030030,Right,153000030030,0,Adena,0,,
30031,10,9,Portal,,,29262,-8860,6605,31606,0,Dion,152000030024,Right,153000030031,0,Adena,0,,
30032,10,11,Portal,,,18375,60479,-37142,-1681,0,Dion,152000030032,Top,153000030032,0,Adena,0,,
30033,11,10,Portal,,,-37801,-1737,17993,59662,0,Dion,152000030030,Top,153000030033,0,Adena,0,,
30034,11,12,Portal,,,-20360,34736,34483,27395,0,Dion,152000030034,Left,153000030034,0,Adena,0,,
30035,11,14,Portal,,,-21213,-23216,-25260,23494,0,Dion,152000030035,Bottom,153000030035,0,Adena,0,,
30036,12,11,Portal,,,35267,27149,-20283,33974,0,Dion,152000030032,Left,153000030036,0,Adena,0,,
30037,12,13,Portal,,,-14076,20603,-21102,18128,0,Dion,152000030037,Left,153000030037,0,Adena,0,,
30038,13,12,Portal,,,-21957,18093,-14447,20259,0,Dion,152000030038,Bottom,153000030038,0,Adena,0,,
30039,14,11,Portal,,,-25190,24095,-21148,-22620,0,Dion,152000030032,Left,153000030039,0,Adena,0,,
30040,14,15,Portal,,,-34333,-12296,-31560,39657,0,Dion,152000030040,Left,153000030040,0,Adena,0,,
30041,14,18,Portal,,,28836,-6912,-12919,2270,0,Dion,152000030041,Bottom,153000030041,0,Adena,0,,
30042,15,14,Portal,,,-31746,39816,-34188,-11579,0,Dion,152000030035,Right,153000030042,0,Adena,0,,
30043,15,16,Portal,,,6366,1597,6761,31693,0,Dion,152000030043,Left,153000030043,0,Adena,0,,
30044,16,15,Portal,,,6744,32333,6237,2121,0,Dion,152000030040,Left,153000030044,0,Adena,0,,
30045,16,17,Portal,,,26529,20255,-21390,20772,0,Dion,152000030045,Left,153000030045,0,Adena,0,,
30046,17,16,Portal,,,-22012,21240,25618,20050,0,Dion,152000030043,Right,153000030046,0,Adena,0,,
30051,18,14,Portal,,,-13289,2887,27960,-6944,0,Dion,152000030035,Left,153000030051,0,Adena,0,,
60001,60001,60001,Portal,,,,,-4439,24,0,Dion,152000060001,Left,0,0,Adena,0,,
70001,70001,70001,Portal,,,-10402,-510,-10402,-510,0,Dion,152000070001,Left,0,0,,,,
100200,,100200,Quest,,,8685,4386,8685,4386,0,ElfRuin,152000100200,Right,0,0,,,,
100204,,100204,Quest,,,1,744,1,744,151000020401,Dion,152000100204,Right,0,0,,,,
100003,,100003,Quest,,,-51516,24180,-51516,24180,151000100003,Gludio,152000100003,Right,0,0,,,,
100018,,100018,Quest,,,1112,219,1112,219,0,Gludio,152000100018,Right,153000100018,0,,,,
200001,,200001,Quest,,,16074,30017,16074,30017,0,TalkingIsland,152000200001,Right,153000200001,0,,,,
200002,,200002,Quest,,,51172,35535,51172,35535,0,,152000200002,Right,153000200002,0,,,,
200200,,200200,Quest,,,45467,-13401,45467,-13401,0,ElfRuin,152000200200,Right,153000200200,0,,,,
211000,,211000,Quest,,,4941,8014,4941,8014,0,TalkingIsland,152000211000,Right,153000211000,0,,,,
211001,,211001,Quest,,,9197,7960,9197,7960,0,,152000211001,Right,0,0,,,,
211002,,211002,Quest,,,13392,7820,13392,7820,0,,152000211002,Right,0,0,,,,
211003,,211003,Quest,,,9182,11568,9182,11568,0,,152000211003,Right,0,0,,,,
200206,,200206,Quest,,,-17889,27089,-17889,27089,0,,152000200010,Right,153000200206,0,,,,
213000,,213000,Quest,,,-1465,520,-1465,520,0,,152000213000,Right,153000213000,0,,,,
200010,,200010,Quest,,,50029,37488,50029,37488,0,,152000200010,Right,153000200010,0,,,,
200011,,200010,Quest,,,54978,32108,54978,32108,0,,152000200011,Right,152000200011,0,,,,
21099,,10,Boss,,,33270,35400,33270,35400,0,,152000021099,,0,1,,,,
21399,,13,Boss,,,6108,-14383,6108,-14383,0,,152000021399,,0,1,,,,
20298,,2,Boss,,,21823,28670,21823,28670,0,,152000020298,,0,1,,,,
20398,,3,Boss,,,-5523,-7692,-5523,-7692,0,,152000020398,,0,1,,,,
20498,,4,Boss,,,-22880,10977,-22880,10977,0,,152000020498,,0,1,,,,
20598,,5,Boss,,,89143,32760,89143,32760,0,,152000020598,,0,1,,,,
20698,,6,Boss,,,35375,74950,35375,74950,0,,152000020698,,0,1,,,,
20798,,7,Boss,,,-15743,26479,-15743,26479,0,,152000020798,,0,1,,,,
20898,,8,Boss,,,60660,48970,60660,48970,0,,152000020898,,0,1,,,,
20998,,9,Boss,,,-28780,-7830,-28780,-7830,0,,152000020998,,0,1,,,,
21198,,11,Boss,,,25028,-10405,25028,-10405,0,,152000021198,,0,1,,,,
21298,,12,Boss,,,5146,8147,5146,8147,0,,152000021298,,0,1,,,,
21498,,14,Boss,,,25561,-14128,25561,-14128,0,,152000021498,,0,1,,,,
21998,,21020,Boss,,,5708,-3780,5708,-3780,161000021000,,161000021000,Right,161000021000,1,,,,
22198,,21030,Boss,,,5708,-3780,5708,-3780,161000021000,,161000021000,Right,161000021000,1,,,,
40101,,401,Quest,,,32560,29400,32560,29400,641000040101,Dion,152000040101,Left,0,0,,,,
40201,,402,Quest,,,-3839,8689,-4493,7547,641000040102,,641000040102,Left,0,0,,,,
17,,1,Fortress,,,,,6800,23630,641000005001,,0,,0,0,,,,
18,,1,Fortress,,,,,2830,28650,641000005002,,0,,0,0,,,,
19,,1,Fortress,,,,,-5560,20380,641000005003,,0,,0,0,,,,
20,,1,Fortress,,,,,5390,15370,641000005004,,0,,0,0,,,,
21,,2,Fortress,,,,,5790,34500,641000005005,,0,,0,0,,,,
22,,2,Fortress,,,,,6940,29330,641000005006,,0,,0,0,,,,
23,,2,Fortress,,,,,5070,26670,641000005007,,0,,0,0,,,,
24,,2,Fortress,,,,,27470,19720,641000005008,,0,,0,0,,,,
20801,208,208,Portal,,,-10246,17028,-10246,17028,722000000127,Oren,722000000127,Left,0,0,,,,
30052,10,401,Portal,,,33096,35332,32730,34910,0,Dion,152000030052,Right,153000030052,0,Adena,,,
30053,401,10,Portal,,,33020,35280,33450,35570,0,Dion,152000030053,Right,153000030053,0,Adena,,,
20181,,1,Boss,,,-1746,39071,-1746,39071,0,,10020181,,0,1,,,,
20182,,1,Boss,,,-6064,20676,-6064,20676,0,,10020182,,0,1,,,,
20183,,1,Boss,,,-9889,36888,-9889,36888,0,,10020183,,0,1,,,,
20184,,1,Boss,,,2767,6752,2767,6752,0,,10020184,,0,1,,,,
20185,,1,Boss,,,2774,3299,2774,3299,0,,10020185,,0,1,,,,
20281,,2,Boss,,,3107,20437,3107,20437,0,,10020281,,0,1,,,,
20282,,2,Boss,,,31345,27216,31345,27216,0,,10020282,,0,1,,,,
20283,,2,Boss,,,14643,28257,14643,28257,0,,10020283,,0,1,,,,
20284,,2,Boss,,,25767,29481,25767,29481,0,,10020284,,0,1,,,,
30081,,200,Boss,,,7161,2881,7161,2881,0,,10030081,,0,1,,,,
30082,,200,Boss,,,10206,-2828,10206,-2828,0,,10030082,,0,1,,,,
30083,,200,Boss,,,17004,133,17004,133,0,,10030083,,0,1,,,,
30181,,201,Boss,,,42727,5190,42727,5190,0,,10030181,,0,1,,,,
30182,,201,Boss,,,51005,8640,51005,8640,0,,10030182,,0,1,,,,
30183,,201,Boss,,,50988,-9170,50988,-9170,0,,10030183,,0,1,,,,
30184,,201,Boss,,,45513,-10154,45513,-10154,0,,10220971,,0,1,,,,
20381,,3,Boss,,,-41111,-13093,-41111,-13093,0,,10020381,,0,1,,,,
20382,,3,Boss,,,-51253,-5583,-51253,-5583,0,,10020382,,0,1,,,,
20383,,3,Boss,,,1636,13900,1636,13900,0,,10020383,,0,1,,,,
20384,,3,Boss,,,-6241,1309,-6241,1309,0,,10020384,,0,1,,,,
20385,,3,Boss,,,26861,-5319,26861,-5319,0,,10020385,,0,1,,,,
20386,,3,Boss,,,40861,-15900,40861,-15900,0,,10020386,,0,1,,,,
20481,,4,Boss,,,24162,7448,24162,7448,0,,10020481,,0,1,,,,
20482,,4,Boss,,,31759,-5961,31759,-5961,0,,10020482,,0,1,,,,
20483,,4,Boss,,,-8670,19173,-8670,19173,0,,10020483,,0,1,,,,
20484,,4,Boss,,,-24337,-2509,-24337,-2509,0,,10020484,,0,1,,,,
20485,,4,Boss,,,-29391,-9892,-29391,-9892,0,,10020485,,0,1,,,,
20486,,4,Boss,,,-47737,13094,-47737,13094,0,,10110112,,0,1,,,,
20581,,5,Boss,,,90650,62392,90650,62392,0,,10020581,,0,1,,,,
20582,,5,Boss,,,73301,61804,73301,61804,0,,10020582,,0,1,,,,
20583,,5,Boss,,,93269,32140,93269,32140,0,,10020583,,0,1,,,,
20584,,5,Boss,,,48038,31296,48038,31296,0,,10020584,,0,1,,,,
20585,,5,Boss,,,56386,31301,56386,31301,0,,10020585,,0,1,,,,
20586,,5,Boss,,,48138,24974,48138,24974,0,,10020586,,0,1,,,,
20681,,6,Boss,,,68578,62627,68578,62627,0,,10110119,,0,1,,,,
20682,,6,Boss,,,54695,65826,54695,65826,0,,10110120,,0,1,,,,
20683,,6,Boss,,,49969,62612,49969,62612,0,,10110121,,0,1,,,,
20684,,6,Boss,,,35454,56825,35454,56825,0,,10110122,,0,1,,,,
20685,,6,Boss,,,37090,45323,37090,45323,0,,10020685,,0,1,,,,
20686,,6,Boss,,,27748,46216,27748,46216,0,,10020686,,0,1,,,,
20687,,6,Boss,,,16729,49286,16729,49286,0,,10020687,,0,1,,,,
30281,,202,Boss,,,-17004,-12319,-17004,-12319,0,,10030281,,0,1,,,,
30282,,202,Boss,,,-22237,-19893,-22237,-19893,0,,10030282,,0,1,,,,
30381,,203,Boss,,,-3017,-1597,-3017,-1597,0,,10030381,,0,1,,,,
30382,,203,Boss,,,200,-6238,200,-6238,0,,10030382,,0,1,,,,
20781,,7,Boss,,,13610,13944,13610,13944,0,,10020781,,0,1,,,,
20782,,7,Boss,,,5850,19365,5850,19365,0,,10020782,,0,1,,,,
20783,,7,Boss,,,26306,25296,26306,25296,0,,10020783,,0,1,,,,
20784,,7,Boss,,,-28175,5203,-28175,5203,0,,10020784,,0,1,,,,
20785,,7,Boss,,,-12949,13494,-12949,13494,0,,10020785,,0,1,,,,
20786,,7,Boss,,,-27901,7784,-27901,7784,0,,10020786,,0,1,,,,
20787,,7,Boss,,,-19653,12917,-19653,12917,0,,10110207,,0,1,,,,
20881,,8,Boss,,,49380,45920,49380,45920,0,,10020881,,0,1,,,,
20882,,8,Boss,,,45980,36599,45980,36599,0,,10020882,,0,1,,,,
20883,,8,Boss,,,72396,27481,72396,27481,0,,10020883,,0,1,,,,
20884,,8,Boss,,,56599,35928,56599,35928,0,,10020884,,0,1,,,,
20885,,8,Boss,,,75230,53356,75230,53356,0,,10020885,,0,1,,,,
20981,,9,Boss,,,-6784,17625,-6784,17625,0,,10020981,,0,1,,,,
20982,,9,Boss,,,-9750,9425,-9750,9425,0,,10020982,,0,1,,,,
20983,,9,Boss,,,16263,1853,16263,1853,0,,10020983,,0,1,,,,
20984,,9,Boss,,,-66,-9844,-66,-9844,0,,10020984,,0,1,,,,
20985,,9,Boss,,,36902,9448,36902,9448,0,,10020985,,0,1,,,,
21081,,10,Boss,,,8633,-15160,8633,-15160,0,,10021081,,0,1,,,,
21082,,10,Boss,,,21048,-6328,21048,-6328,0,,10021082,,0,1,,,,
21083,,10,Boss,,,32568,7887,32568,7887,0,,10021083,,0,1,,,,
21084,,10,Boss,,,46754,12624,46754,12624,0,,10021084,,0,1,,,,
21085,,10,Boss,,,47437,21923,47437,21923,0,,10011031,,0,1,,,,
21086,,10,Boss,,,23276,44514,23276,44514,0,,10021086,,0,1,,,,
21087,,10,Boss,,,40963,45675,40963,45675,0,,10021087,,0,1,,,,
30481,,204,Boss,,,-9624,8269,-9624,8269,0,,10030481,,0,1,,,,
30482,,204,Boss,,,-9563,18706,-9563,18706,0,,10030482,,0,1,,,,
30483,,204,Boss,,,-15591,13879,-15591,13879,0,,10030483,,0,1,,,,
30484,,204,Boss,,,-20020,13840,-20020,13840,0,,10030484,,0,1,,,,
30581,,205,Boss,,,14907,12649,14907,12649,0,,10030581,,0,1,,,,
30582,,205,Boss,,,14794,2181,14794,2181,0,,10030582,,0,1,,,,
30583,,205,Boss,,,25312,12604,25312,12604,0,,10030583,,0,1,,,,
21181,,11,Boss,,,9085,-13452,9085,-13452,0,,10021160,,0,1,,,,
