ItemType,ItemGrade,EquipmentType,Level,TotalExpForNextLevel,ProvidingExp,RequiredAdena,EffectIncreaseRate
Equipment,S,Weapon,5,4095,3640,39800,1200
Equipment,S,Weapon,6,4914,4095,44800,1500
Equipment,S,Weapon,7,5733,4550,49700,1800
Equipment,S,Weapon,8,6552,5005,54700,2100
Equipment,S,Weapon,9,7371,5460,59700,2400
Equipment,S,Weapon,10,8190,5915,64600,2700
Equipment,S,Weapon,11,9009,6370,69600,3000
Equipment,S,Weapon,12,9828,6825,74600,3300
Equipment,S,Weapon,13,10647,7280,79600,3600
Equipment,S,Weapon,14,11466,7735,84500,3900
Equipment,S,Weapon,15,12285,8190,89500,4200
Equipment,S,Weapon,16,13104,8645,94500,4500
Equipment,S,Weapon,17,13923,9100,99500,4800
Equipment,S,Weapon,18,14742,9555,104400,5100
Equipment,S,Weapon,19,15561,10010,109400,5400
Equipment,S,Weapon,20,16380,10465,114400,5700
Equipment,S,Weapon,21,17199,10920,119300,6000
Equipment,S,Weapon,22,18018,11375,124300,6300
Equipment,S,Weapon,23,18837,11830,129300,6600
Equipment,S,Weapon,24,19656,12285,134300,6900
Equipment,S,Weapon,25,20475,12740,139200,7200
Equipment,S,Weapon,26,21294,13195,144200,7500
Equipment,S,Weapon,27,22113,13650,149200,7800
Equipment,S,Weapon,28,22932,14105,154100,8100
Equipment,S,Weapon,29,23751,14560,159100,8400
Equipment,S,Weapon,30,24570,15015,164100,8700
Equipment,R,Weapon,1,2054,4724,48600,0
Equipment,R,Weapon,2,4108,5905,60700,250
Equipment,R,Weapon,3,6162,7086,72900,500
Equipment,R,Weapon,4,8216,8267,85000,750
Equipment,R,Weapon,5,10270,9448,97200,1000
Equipment,R,Weapon,6,12324,10629,109300,1250
Equipment,R,Weapon,7,14378,11810,121500,1500
Equipment,R,Weapon,8,16432,12991,133600,1750
Equipment,R,Weapon,9,18486,14172,145800,2000
Equipment,R,Weapon,10,20540,15353,157900,2250
Equipment,R,Weapon,11,22594,16534,170100,2500
Equipment,R,Weapon,12,24648,17715,182200,2750
Equipment,R,Weapon,13,26702,18896,194400,3000
Equipment,R,Weapon,14,28756,20077,206500,3250
Equipment,R,Weapon,15,30810,21258,218700,3500
Equipment,R,Weapon,16,32864,22439,230800,3750
Equipment,R,Weapon,17,34918,23620,242900,4000
Equipment,R,Weapon,18,36972,24801,255100,4250
Equipment,R,Weapon,19,39026,25982,267200,4500
Equipment,R,Weapon,20,41080,27163,279400,4750
Equipment,R,Weapon,21,43134,28344,291500,5000
Equipment,R,Weapon,22,45188,29525,303700,5250
Equipment,R,Weapon,23,47242,30706,315800,5500
Equipment,R,Weapon,24,49296,31887,328000,5750
Equipment,R,Weapon,25,51350,33068,340100,6000
Equipment,R,Weapon,26,53404,34249,352300,6250
Equipment,R,Weapon,27,55458,35430,364400,6500
Equipment,R,Weapon,28,57512,36611,376600,6750
Equipment,R,Weapon,29,59566,37792,388700,7000
Equipment,R,Weapon,30,61620,38973,400900,7250
Equipment,SR,Weapon,1,5135,12205,117700,0
Equipment,SR,Weapon,2,10270,15256,147100,200
Equipment,SR,Weapon,3,15405,18308,176500,400
Equipment,SR,Weapon,4,20540,21359,206000,600
Equipment,SR,Weapon,5,25675,24410,235400,800
Equipment,SR,Weapon,6,30810,27461,264800,1000
Equipment,SR,Weapon,7,35945,30513,294200,1200
Equipment,SR,Weapon,8,41080,33564,323700,1400
Equipment,SR,Weapon,9,46215,36615,353100,1600
Equipment,SR,Weapon,10,51350,39666,382500,1800
Equipment,SR,Weapon,11,56485,42718,411900,2000
Equipment,SR,Weapon,12,61620,45769,441300,2200
Equipment,SR,Weapon,13,66755,48820,470800,2400
Equipment,SR,Weapon,14,71890,51871,500200,2600
Equipment,SR,Weapon,15,77025,54923,529600,2800
Equipment,SR,Weapon,16,82160,57974,559000,3000
Equipment,SR,Weapon,17,87295,61025,588500,3200
Equipment,SR,Weapon,18,92430,64076,617900,3400
Equipment,SR,Weapon,19,97565,67128,647300,3600
Equipment,SR,Weapon,20,102700,70179,676700,3800
Equipment,SR,Weapon,21,107835,73230,706100,4000
Equipment,SR,Weapon,22,112970,76281,735600,4200
Equipment,SR,Weapon,23,118105,79333,765000,4400
Equipment,SR,Weapon,24,123240,82384,794400,4600
Equipment,SR,Weapon,25,128375,85435,823800,4800
Equipment,SR,Weapon,26,133510,88486,853300,5000
Equipment,SR,Weapon,27,138645,91538,882700,5200
Equipment,SR,Weapon,28,143780,94589,912100,5400
Equipment,SR,Weapon,29,148915,97640,941500,5600
Equipment,SR,Weapon,30,154050,100691,970900,5800
Equipment,SR,Weapon,31,159185,103743,1000400,6300
Equipment,SR,Weapon,32,164320,106794,1029800,6800
Equipment,SR,Weapon,33,169455,109845,1059200,7300
Equipment,SR,Weapon,34,174590,112896,1088600,7800
Equipment,SR,Weapon,35,179725,115948,1118100,8300
Equipment,SR,Weapon,36,184860,118999,1147500,8800
Equipment,SR,Weapon,37,189995,122050,1176900,9300
Equipment,SR,Weapon,38,195130,125101,1206300,9800
Equipment,SR,Weapon,39,200265,128153,1235800,10300
Equipment,SR,Weapon,40,205400,131204,1265200,10800
Equipment,UR,Weapon,1,8736,21436,192900,0
Equipment,UR,Weapon,2,17472,26795,241200,100
Equipment,UR,Weapon,3,26208,32154,289400,200
Equipment,UR,Weapon,4,34944,37513,337600,300
Equipment,UR,Weapon,5,43680,42872,385800,400
Equipment,UR,Weapon,6,52416,48231,434100,500
Equipment,UR,Weapon,7,61152,53590,482300,600
Equipment,UR,Weapon,8,69888,58949,530500,700
Equipment,UR,Weapon,9,78624,64308,578800,800
Equipment,UR,Weapon,10,87360,69667,627000,900
Equipment,UR,Weapon,11,96096,75026,675200,1000
Equipment,UR,Weapon,12,104832,80385,723500,1100
Equipment,UR,Weapon,13,113568,85744,771700,1200
Equipment,UR,Weapon,14,122304,91103,819900,1300
Equipment,UR,Weapon,15,131040,96462,868200,1400
Equipment,UR,Weapon,16,139776,101821,916400,1500
Equipment,UR,Weapon,17,148512,107180,964600,1600
Equipment,UR,Weapon,18,157248,112539,1012900,1700
Equipment,UR,Weapon,19,165984,117898,1061100,1800
Equipment,UR,Weapon,20,174720,123257,1109300,1900
Equipment,UR,Weapon,21,183456,128616,1157500,2000
Equipment,UR,Weapon,22,192192,133975,1205800,2100
Equipment,UR,Weapon,23,200928,139334,1254000,2200
Equipment,UR,Weapon,24,209664,144693,1302200,2300
Equipment,UR,Weapon,25,218400,150052,1350500,2400
Equipment,UR,Weapon,26,227136,155411,1398700,2500
Equipment,UR,Weapon,27,235872,160770,1446900,2600
Equipment,UR,Weapon,28,244608,166129,1495200,2700
Equipment,UR,Weapon,29,253344,171488,1543400,2800
Equipment,UR,Weapon,30,262080,176847,1591600,2900
Equipment,UR,Weapon,31,270816,182206,1639900,3150
Equipment,UR,Weapon,32,279552,187565,1688100,3400
Equipment,UR,Weapon,33,288288,192924,1736300,3650
Equipment,UR,Weapon,34,297024,198283,1784500,3900
Equipment,UR,Weapon,35,305760,203642,1832800,4150
Equipment,UR,Weapon,36,314496,209001,1881000,4400
Equipment,UR,Weapon,37,323232,214360,1929200,4650
Equipment,UR,Weapon,38,331968,219719,1977500,4900
Equipment,UR,Weapon,39,340704,225078,2025700,5150
Equipment,UR,Weapon,40,349440,230437,2073900,5400
Equipment,C,Helmet,1,40,70,700,0
Equipment,C,Helmet,2,80,88,900,500
Equipment,C,Helmet,3,120,105,1100,1000
Equipment,C,Helmet,4,160,123,1200,1500
Equipment,C,Helmet,5,200,140,1400,2000
Equipment,C,Helmet,6,240,158,1600,2500
Equipment,C,Helmet,7,280,175,1800,3000
Equipment,C,Helmet,8,320,193,1900,3500
Equipment,C,Helmet,9,360,210,2100,4000
Equipment,C,Helmet,10,400,228,2300,4500
Equipment,C,Helmet,11,440,245,2500,5000
Equipment,C,Helmet,12,480,263,2600,5500
Equipment,C,Helmet,13,520,280,2800,6000
Equipment,C,Helmet,14,560,298,3000,6500
Equipment,C,Helmet,15,600,315,3200,7000
Equipment,C,Helmet,16,640,333,3300,7500
Equipment,C,Helmet,17,680,350,3500,8000
Equipment,C,Helmet,18,720,368,3700,8500
Equipment,C,Helmet,19,760,385,3900,9000
Equipment,C,Helmet,20,800,403,4000,9500
Equipment,C,Helmet,21,840,420,4200,10000
Equipment,C,Helmet,22,880,438,4400,10500
Equipment,C,Helmet,23,920,455,4600,11000
Equipment,C,Helmet,24,960,473,4700,11500
Equipment,C,Helmet,25,1000,490,4900,12000
Equipment,C,Helmet,26,1040,508,5100,12500
Equipment,C,Helmet,27,1080,525,5300,13000
Equipment,C,Helmet,28,1120,543,5400,13500
Equipment,C,Helmet,29,1160,560,5600,14000
Equipment,C,Helmet,30,1200,578,5800,14500
Equipment,B,Helmet,1,100,212,2000,0
Equipment,B,Helmet,2,200,265,2500,400
Equipment,B,Helmet,3,300,318,3000,800
Equipment,B,Helmet,4,400,371,3500,1200
Equipment,B,Helmet,5,500,424,4000,1600
Equipment,B,Helmet,6,600,477,4500,2000
Equipment,B,Helmet,7,700,530,5000,2400
Equipment,B,Helmet,8,800,583,5500,2800
Equipment,B,Helmet,9,900,636,6000,3200
Equipment,B,Helmet,10,1000,689,6500,3600
Equipment,B,Helmet,11,1100,742,7000,4000
Equipment,B,Helmet,12,1200,795,7600,4400
Equipment,B,Helmet,13,1300,848,8100,4800
Equipment,B,Helmet,14,1400,901,8600,5200
Equipment,B,Helmet,15,1500,954,9100,5600
Equipment,B,Helmet,16,1600,1007,9600,6000
Equipment,B,Helmet,17,1700,1060,10100,6400
Equipment,B,Helmet,18,1800,1113,10600,6800
Equipment,B,Helmet,19,1900,1166,11100,7200
Equipment,B,Helmet,20,2000,1219,11600,7600
Equipment,B,Helmet,21,2100,1272,12100,8000
Equipment,B,Helmet,22,2200,1325,12600,8400
Equipment,B,Helmet,23,2300,1378,13100,8800
Equipment,B,Helmet,24,2400,1431,13600,9200
Equipment,B,Helmet,25,2500,1484,14100,9600
Equipment,B,Helmet,26,2600,1537,14600,10000
Equipment,B,Helmet,27,2700,1590,15100,10400
Equipment,B,Helmet,28,2800,1643,15600,10800
Equipment,B,Helmet,29,2900,1696,16100,11200
Equipment,B,Helmet,30,3000,1749,16600,11600
Equipment,A,Helmet,1,250,655,5900,0
Equipment,A,Helmet,2,500,819,7400,500
Equipment,A,Helmet,3,750,983,8800,1000
Equipment,A,Helmet,4,1000,1146,10300,1500
Equipment,A,Helmet,5,1250,1310,11800,2000
Equipment,A,Helmet,6,1500,1474,13300,2500
Equipment,A,Helmet,7,1750,1638,14700,3000
Equipment,A,Helmet,8,2000,1801,16200,3500
Equipment,A,Helmet,9,2250,1965,17700,4000
Equipment,A,Helmet,10,2500,2129,19200,4500
Equipment,A,Helmet,11,2750,2293,20600,5000
Equipment,A,Helmet,12,3000,2456,22100,5500
Equipment,A,Helmet,13,3250,2620,23600,6000
Equipment,A,Helmet,14,3500,2784,25100,6500
Equipment,A,Helmet,15,3750,2948,26500,7000
Equipment,A,Helmet,16,4000,3111,28000,7500
Equipment,A,Helmet,17,4250,3275,29500,8000
Equipment,A,Helmet,18,4500,3439,31000,8500
Equipment,A,Helmet,19,4750,3603,32400,9000
Equipment,A,Helmet,20,5000,3766,33900,9500
Equipment,A,Helmet,21,5250,3930,35400,10000
Equipment,A,Helmet,22,5500,4094,36800,10500
Equipment,A,Helmet,23,5750,4258,38300,11000
Equipment,A,Helmet,24,6000,4421,39800,11500
Equipment,A,Helmet,25,6250,4585,41300,12000
Equipment,A,Helmet,26,6500,4749,42700,12500
Equipment,A,Helmet,27,6750,4913,44200,13000
Equipment,A,Helmet,28,7000,5076,45700,13500
Equipment,A,Helmet,29,7250,5240,47200,14000
Equipment,A,Helmet,30,7500,5404,48600,14500
Equipment,S,Helmet,1,630,1820,15500,0
Equipment,S,Helmet,2,1260,2275,19300,400
Equipment,S,Helmet,3,1890,2730,23200,800
Equipment,S,Helmet,4,2520,3185,27100,1200
Equipment,S,Helmet,5,3150,3640,30900,1600
Equipment,S,Helmet,6,3780,4095,34800,2000
Equipment,S,Helmet,7,4410,4550,38700,2400
Equipment,S,Helmet,8,5040,5005,42500,2800
Equipment,S,Helmet,9,5670,5460,46400,3200
Equipment,S,Helmet,10,6300,5915,50300,3600
Equipment,S,Helmet,11,6930,6370,54100,4000
Equipment,S,Helmet,12,7560,6825,58000,4400
Equipment,S,Helmet,13,8190,7280,61900,4800
Equipment,S,Helmet,14,8820,7735,65700,5200
Equipment,S,Helmet,15,9450,8190,69600,5600
Equipment,S,Helmet,16,10080,8645,73500,6000
Equipment,S,Helmet,17,10710,9100,77400,6400
Equipment,S,Helmet,18,11340,9555,81200,6800
Equipment,S,Helmet,19,11970,10010,85100,7200
Equipment,S,Helmet,20,12600,10465,89000,7600
Equipment,S,Helmet,21,13230,10920,92800,8000
Equipment,S,Helmet,22,13860,11375,96700,8400
Equipment,S,Helmet,23,14490,11830,100600,8800
Equipment,S,Helmet,24,15120,12285,104400,9200
Equipment,S,Helmet,25,15750,12740,108300,9600
Equipment,S,Helmet,26,16380,13195,112200,10000
Equipment,S,Helmet,27,17010,13650,116000,10400
Equipment,S,Helmet,28,17640,14105,119900,10800
Equipment,S,Helmet,29,18270,14560,123800,11200
Equipment,S,Helmet,30,18900,15015,127600,11600
Equipment,R,Helmet,1,1580,4724,37800,0
Equipment,R,Helmet,2,3160,5905,47200,250
Equipment,R,Helmet,3,4740,7086,56700,500
Equipment,R,Helmet,4,6320,8267,66100,750
Equipment,R,Helmet,5,7900,9448,75600,1000
Equipment,R,Helmet,6,9480,10629,85000,1250
Equipment,R,Helmet,7,11060,11810,94500,1500
Equipment,R,Helmet,8,12640,12991,103900,1750
Equipment,R,Helmet,9,14220,14172,113400,2000
Equipment,R,Helmet,10,15800,15353,122800,2250
Equipment,R,Helmet,11,17380,16534,132300,2500
Equipment,R,Helmet,12,18960,17715,141700,2750
Equipment,R,Helmet,13,20540,18896,151200,3000
Equipment,R,Helmet,14,22120,20077,160600,3250
Equipment,R,Helmet,15,23700,21258,170100,3500
Equipment,R,Helmet,16,25280,22439,179500,3750
Equipment,R,Helmet,17,26860,23620,189000,4000
Equipment,R,Helmet,18,28440,24801,198400,4250
Equipment,R,Helmet,19,30020,25982,207900,4500
Equipment,R,Helmet,20,31600,27163,217300,4750
Equipment,R,Helmet,21,33180,28344,226800,5000
Equipment,R,Helmet,22,34760,29525,236200,5250
Equipment,R,Helmet,23,36340,30706,245600,5500
Equipment,R,Helmet,24,37920,31887,255100,5750
Equipment,R,Helmet,25,39500,33068,264500,6000
Equipment,R,Helmet,26,41080,34249,274000,6250
Equipment,R,Helmet,27,42660,35430,283400,6500
Equipment,R,Helmet,28,44240,36611,292900,6750
Equipment,R,Helmet,29,45820,37792,302300,7000
Equipment,R,Helmet,30,47400,38973,311800,7250
Equipment,SR,Helmet,1,3950,12205,91500,0
Equipment,SR,Helmet,2,7900,15256,114400,200
Equipment,SR,Helmet,3,11850,18308,137300,400
Equipment,SR,Helmet,4,15800,21359,160200,600
Equipment,SR,Helmet,5,19750,24410,183100,800
Equipment,SR,Helmet,6,23700,27461,206000,1000
Equipment,SR,Helmet,7,27650,30513,228800,1200
Equipment,SR,Helmet,8,31600,33564,251700,1400
Equipment,SR,Helmet,9,35550,36615,274600,1600
Equipment,SR,Helmet,10,39500,39666,297500,1800
Equipment,SR,Helmet,11,43450,42718,320400,2000
Equipment,SR,Helmet,12,47400,45769,343300,2200
Equipment,SR,Helmet,13,51350,48820,366200,2400
Equipment,SR,Helmet,14,55300,51871,389000,2600
Equipment,SR,Helmet,15,59250,54923,411900,2800
Equipment,SR,Helmet,16,63200,57974,434800,3000
Equipment,SR,Helmet,17,67150,61025,457700,3200
Equipment,SR,Helmet,18,71100,64076,480600,3400
Equipment,SR,Helmet,19,75050,67128,503500,3600
Equipment,SR,Helmet,20,79000,70179,526300,3800
Equipment,SR,Helmet,21,82950,73230,549200,4000
Equipment,SR,Helmet,22,86900,76281,572100,4200
Equipment,SR,Helmet,23,90850,79333,595000,4400
Equipment,SR,Helmet,24,94800,82384,617900,4600
Equipment,SR,Helmet,25,98750,85435,640800,4800
Equipment,SR,Helmet,26,102700,88486,663600,5000
Equipment,SR,Helmet,27,106650,91538,686500,5200
Equipment,SR,Helmet,28,110600,94589,709400,5400
Equipment,SR,Helmet,29,114550,97640,732300,5600
Equipment,SR,Helmet,30,118500,100691,755200,5800
Equipment,SR,Helmet,31,122450,103743,778100,6300
Equipment,SR,Helmet,32,126400,106794,801000,6800
Equipment,SR,Helmet,33,130350,109845,823800,7300
Equipment,SR,Helmet,34,134300,112896,846700,7800
Equipment,SR,Helmet,35,138250,115948,869600,8300
Equipment,SR,Helmet,36,142200,118999,892500,8800
Equipment,SR,Helmet,37,146150,122050,915400,9300
Equipment,SR,Helmet,38,150100,125101,938300,9800
Equipment,SR,Helmet,39,154050,128153,961100,10300
Equipment,SR,Helmet,40,158000,131204,984000,10800
Equipment,UR,Helmet,1,6720,21436,150100,0
Equipment,UR,Helmet,2,13440,26795,187600,100
Equipment,UR,Helmet,3,20160,32154,225100,200
Equipment,UR,Helmet,4,26880,37513,262600,300
Equipment,UR,Helmet,5,33600,42872,300100,400
Equipment,UR,Helmet,6,40320,48231,337600,500
Equipment,UR,Helmet,7,47040,53590,375100,600
Equipment,UR,Helmet,8,53760,58949,412600,700
Equipment,UR,Helmet,9,60480,64308,450200,800
Equipment,UR,Helmet,10,67200,69667,487700,900
Equipment,UR,Helmet,11,73920,75026,525200,1000
Equipment,UR,Helmet,12,80640,80385,562700,1100
Equipment,UR,Helmet,13,87360,85744,600200,1200
Equipment,UR,Helmet,14,94080,91103,637700,1300
Equipment,UR,Helmet,15,100800,96462,675200,1400
Equipment,UR,Helmet,16,107520,101821,712700,1500
Equipment,UR,Helmet,17,114240,107180,750300,1600
Equipment,UR,Helmet,18,120960,112539,787800,1700
Equipment,UR,Helmet,19,127680,117898,825300,1800
Equipment,UR,Helmet,20,134400,123257,862800,1900
Equipment,UR,Helmet,21,141120,128616,900300,2000
Equipment,UR,Helmet,22,147840,133975,937800,2100
Equipment,UR,Helmet,23,154560,139334,975300,2200
Equipment,UR,Helmet,24,161280,144693,1012900,2300
Equipment,UR,Helmet,25,168000,150052,1050400,2400
Equipment,UR,Helmet,26,174720,155411,1087900,2500
Equipment,UR,Helmet,27,181440,160770,1125400,2600
Equipment,UR,Helmet,28,188160,166129,1162900,2700
Equipment,UR,Helmet,29,194880,171488,1200400,2800
Equipment,UR,Helmet,30,201600,176847,1237900,2900
Equipment,UR,Helmet,31,208320,182206,1275400,3150
Equipment,UR,Helmet,32,215040,187565,1313000,3400
Equipment,UR,Helmet,33,221760,192924,1350500,3650
Equipment,UR,Helmet,34,228480,198283,1388000,3900
Equipment,UR,Helmet,35,235200,203642,1425500,4150
Equipment,UR,Helmet,36,241920,209001,1463000,4400
Equipment,UR,Helmet,37,248640,214360,1500500,4650
Equipment,UR,Helmet,38,255360,219719,1538000,4900
Equipment,UR,Helmet,39,262080,225078,1575500,5150
Equipment,UR,Helmet,40,268800,230437,1613100,5400
Equipment,C,Armor,1,40,70,700,0
Equipment,C,Armor,2,80,88,900,500
Equipment,C,Armor,3,120,105,1100,1000
Equipment,C,Armor,4,160,123,1200,1500
Equipment,C,Armor,5,200,140,1400,2000
Equipment,C,Armor,6,240,158,1600,2500
Equipment,C,Armor,7,280,175,1800,3000
Equipment,C,Armor,8,320,193,1900,3500
Equipment,C,Armor,9,360,210,2100,4000
Equipment,C,Armor,10,400,228,2300,4500
Equipment,C,Armor,11,440,245,2500,5000
Equipment,C,Armor,12,480,263,2600,5500
Equipment,C,Armor,13,520,280,2800,6000
Equipment,C,Armor,14,560,298,3000,6500
Equipment,C,Armor,15,600,315,3200,7000
Equipment,C,Armor,16,640,333,3300,7500
Equipment,C,Armor,17,680,350,3500,8000
Equipment,C,Armor,18,720,368,3700,8500
Equipment,C,Armor,19,760,385,3900,9000
Equipment,C,Armor,20,800,403,4000,9500
Equipment,C,Armor,21,840,420,4200,10000
Equipment,C,Armor,22,880,438,4400,10500
Equipment,C,Armor,23,920,455,4600,11000
Equipment,C,Armor,24,960,473,4700,11500
Equipment,C,Armor,25,1000,490,4900,12000
Equipment,C,Armor,26,1040,508,5100,12500
Equipment,C,Armor,27,1080,525,5300,13000
Equipment,C,Armor,28,1120,543,5400,13500
Equipment,C,Armor,29,1160,560,5600,14000
Equipment,C,Armor,30,1200,578,5800,14500
Equipment,B,Armor,1,100,212,2000,0
Equipment,B,Armor,2,200,265,2500,400
Equipment,B,Armor,3,300,318,3000,800
Equipment,B,Armor,4,400,371,3500,1200
Equipment,B,Armor,5,500,424,4000,1600
Equipment,B,Armor,6,600,477,4500,2000
Equipment,B,Armor,7,700,530,5000,2400
Equipment,B,Armor,8,800,583,5500,2800
Equipment,B,Armor,9,900,636,6000,3200
Equipment,B,Armor,10,1000,689,6500,3600
Equipment,B,Armor,11,1100,742,7000,4000
Equipment,B,Armor,12,1200,795,7600,4400
Equipment,B,Armor,13,1300,848,8100,4800
Equipment,B,Armor,14,1400,901,8600,5200
Equipment,B,Armor,15,1500,954,9100,5600
Equipment,B,Armor,16,1600,1007,9600,6000
Equipment,B,Armor,17,1700,1060,10100,6400
Equipment,B,Armor,18,1800,1113,10600,6800
Equipment,B,Armor,19,1900,1166,11100,7200
Equipment,B,Armor,20,2000,1219,11600,7600
Equipment,B,Armor,21,2100,1272,12100,8000
Equipment,B,Armor,22,2200,1325,12600,8400
Equipment,B,Armor,23,2300,1378,13100,8800
Equipment,B,Armor,24,2400,1431,13600,9200
Equipment,B,Armor,25,2500,1484,14100,9600
Equipment,B,Armor,26,2600,1537,14600,10000
Equipment,B,Armor,27,2700,1590,15100,10400
Equipment,B,Armor,28,2800,1643,15600,10800
Equipment,B,Armor,29,2900,1696,16100,11200
Equipment,B,Armor,30,3000,1749,16600,11600
Equipment,A,Armor,1,250,655,5900,0
Equipment,A,Armor,2,500,819,7400,350
Equipment,A,Armor,3,750,983,8800,700
Equipment,A,Armor,4,1000,1146,10300,1050
Equipment,A,Armor,5,1250,1310,11800,1400
Equipment,A,Armor,6,1500,1474,13300,1750
Equipment,A,Armor,7,1750,1638,14700,2100
Equipment,A,Armor,8,2000,1801,16200,2450
Equipment,A,Armor,9,2250,1965,17700,2800
Equipment,A,Armor,10,2500,2129,19200,3150
Equipment,A,Armor,11,2750,2293,20600,3500
Equipment,A,Armor,12,3000,2456,22100,3850
Equipment,A,Armor,13,3250,2620,23600,4200
Equipment,A,Armor,14,3500,2784,25100,4550
Equipment,A,Armor,15,3750,2948,26500,4900
Equipment,A,Armor,16,4000,3111,28000,5250
Equipment,A,Armor,17,4250,3275,29500,5600
Equipment,A,Armor,18,4500,3439,31000,5950
Equipment,A,Armor,19,4750,3603,32400,6300
Equipment,A,Armor,20,5000,3766,33900,6650
Equipment,A,Armor,21,5250,3930,35400,7000
