Id,ManagerGrade,QuestType,ReplaceString1Key,NameKey,ReplaceString2Key,QuestDesc1Key,QuestDesc2Key,TaskType,TaskCondition,TaskCount,TaskContentType,NpcAutoMoveID,ContentsLockId,Help,Reward1Type,Reward1ItemInfold,Reward1Count,Reward2Type,Reward2ItemInfold,Reward2Count,Reward3Type,Reward3ItemInfold,Reward3Count,GroupType,GreaterThanOrEqual,RewardContribution,GuildRewardType1,GuildRewardItemInfold1,GuildRewardCount1,GuildRewardType2,GuildRewardItemInfold2,GuildRewardCount2
407,Basic,Player,10020898,9410000000006,731000000140,9420000000401,9430000000407,Count_KillMonsterTarget,20898,1,,800107,,0,Item,500003,10,Item,500053,5,Adena,,10000,Boss,0,,,,,,,
408,Expert,Player,10020998,9410000000006,731000000175,9420000000401,9430000000408,Count_KillMonsterTarget,20998,1,,800108,,0,Item,500003,10,Item,500071,10,Item,500119,2,Boss,0,,,,,,,
409,Prestigious,Player,10021198,9410000000006,731000000155,9420000000401,9430000000409,Count_KillMonsterTarget,21198,1,,800109,,0,Item,500051,3,Item,500071,10,Item,500119,2,Boss,0,,,,,,,
410,Basic,Player,10021298,9410000000006,731000000144,9420000000401,9430000000410,Count_KillMonsterTarget,21298,1,,800110,,0,Item,500052,3,Item,500071,10,Item,500119,2,Boss,0,,,,,,,
411,Expert,Player,10021498,9410000000006,731000000184,9420000000401,9430000000411,Count_KillMonsterTarget,21498,1,,800111,,0,Item,500053,5,Item,500071,10,Item,400001,1500,Boss,0,,,,,,,
1001,Basic,Guild,0,9410000000001,0,9420000001001,9430000000274,Count_MissionDailyClear,,10,ActivityDailyMission,,19,0,Adena,,3000,,,,,,,Growth,0,50,Item,500061,7,Firewood,,35
1002,Expert,Guild,0,9410000000003,0,9420000001002,9430000000003,Count_MissionWeeklyClear,,20,ActivityWeeklyMission,,20,0,Adena,,3000,,,,,,,Growth,0,50,Item,500062,5,ExpAgitCrystal,,70
1011,Basic,Guild,0,9410000001011,10001,9420000001011,9430000001011,Count_QuestScroll,C,7,BagExpendables,,,0,Adena,,3000,,,,,,,Growth,1,50,Item,500063,5,Firewood,,35
1012,Basic,Guild,0,9410000001011,10002,9420000001011,9430000001012,Count_QuestScroll,B,5,BagExpendables,,,0,Item,490022,1,,,,,,,Growth,1,50,Item,500081,15,ExpAgitCrystal,,70
1013,Expert,Guild,0,9410000001011,10003,9420000001011,9430000001013,Count_QuestScroll,A,3,BagExpendables,,,0,Item,490022,1,,,,,,,Growth,1,50,Firewood,,35,ExpAgitCrystal,,70
1014,Prestigious,Guild,0,9410000001011,10004,9420000001011,9430000001014,Count_QuestScroll,S,1,BagExpendables,,,0,Item,490022,1,,,,,,,Growth,1,50,ExpAgitCrystal,,70,Item,500061,7
1031,Basic,Guild,0,9410000000321,0,9420000000321,9430000000321,If_MaxCombo,,150,,,,0,Item,490022,1,,,,,,,Battle,0,50,Item,500061,7,Item,500062,5
1032,Expert,Guild,0,9410000001032,0,9420000001032,9430000001032,If_AttackDamage,1000000,1,,,,0,Item,490022,1,,,,,,,Battle,1,50,Item,500062,5,Item,500063,5
1101,Prestigious,Guild,731000002284,9410000000137,4023,9420000000137,9430000001101,Count_KillMonster,All,1000,,,,0,Item,500119,1,,,,,,,Battle,0,50,Item,500081,15,Firewood,,35
1102,Expert,Guild,4024,9410000000137,4024,9420000000137,9430000000139,Count_KillMonster,Elite,500,EliteDungeon,,,0,Item,500119,1,,,,,,,Battle,0,50,Item,500061,7,Item,500081,15
1103,Prestigious,Guild,4025,9410000000137,4025,9420000000137,9430000000141,Count_KillMonster,Hero,3,,,,0,Item,500119,1,,,,,,,Battle,0,50,Item,500062,5,Item,500081,15
1104,Expert,Guild,0,9410000000143,10020471,9420000000137,9430000000143,Count_KillMonsterTarget,20471,1,,10001,,0,Item,500119,1,,,,,,,Social,0,50,Item,500063,5,Item,500081,15
1105,Expert,Guild,0,9410000001105,10000305,9420000000137,9430000000148,Count_KillMonsterTarget,305,1,CollectDungeon,,29,0,Adena,,3000,,,,,,,Battle,0,50,Item,500061,7,Firewood,,35
1106,Basic,Guild,0,9410000001106,10000304,9420000000137,9430000001106,Count_KillMonsterTarget,304,3,CollectDungeon,,29,0,Adena,,3000,,,,,,,Battle,0,50,Item,500062,5,ExpAgitCrystal,,70
1107,Prestigious,Guild,4026,9410000000145,10000301,9420000000137,9430000000145,Count_KillMonsterTarget,301,1,CollectDungeon,,29,0,Adena,,3000,,,,,,,Battle,0,50,Item,500063,5,Firewood,,35
1108,Basic,Guild,4027,9410000000145,10000302,9420000000137,9430000000146,Count_KillMonsterTarget,302,1,CollectDungeon,,29,0,Item,490022,1,,,,,,,Battle,0,50,Item,500081,15,ExpAgitCrystal,,70
1109,Prestigious,Guild,4028,9410000000145,10000303,9420000000137,9430000000147,Count_KillMonsterTarget,303,1,CollectDungeon,,29,0,Item,490022,1,,,,,,,Battle,0,50,Firewood,,35,ExpAgitCrystal,,70
1151,Basic,Guild,0,9410000001151,10301001,9420000001151,9430000001151,Count_KillMonster_Region,300201,50,GuildDungeon,,116,0,Item,490022,1,,,,,,,Battle,0,50,ExpAgitCrystal,,70,Item,500061,7
1152,Expert,Guild,0,9410000001152,10300001,9420000001151,9430000001152,Count_KillMonster_Region,300203,50,GuildDungeon,,117,0,Item,490022,1,,,,,,,Battle,0,50,Item,500061,7,Item,500062,5
1153,Prestigious,Guild,0,9410000001153,10302001,9420000001151,9430000001153,Count_KillMonster_Region,300205,50,GuildDungeon,,123,0,Item,490022,1,,,,,,,Battle,0,50,Item,500062,5,Item,500063,5
1201,Basic,Guild,2011,9410000000311,0,9420000000311,9430000000311,Count_Arena,,7,Pvp,,10,0,Item,500119,1,,,,,,,Battle,0,50,Item,500081,15,Firewood,,35
1202,Expert,Guild,2011,9410000000133,0,9420000001202,9430000000312,Count_ArenaWin,,7,Pvp,,10,0,Item,500119,1,,,,,,,Battle,0,50,Item,500061,7,Item,500081,15
1203,Prestigious,Guild,2011,9410000001203,0,9420000001203,9430000001203,If_ArenaWinStreak,7,1,Pvp,,10,0,Item,500119,1,,,,,,,Battle,1,50,Item,500062,5,Item,500081,15
1301,Prestigious,Guild,2001,9410000000133,2001,9420000001301,9430000001301,Count_DailyDungeonClear,Hard,3,DailyDungeon,,104,0,Item,500119,1,,,,,,,Battle,1,50,Item,500063,5,Item,500081,15
1303,Prestigious,Guild,0,9410000000211,0,712000000006,9430000000211,Count_TowerSweepClear,,3,InfinityDungeon,,15,0,Adena,,3000,,,,,,,Growth,0,50,Item,500061,7,Firewood,,35
1304,Expert,Guild,0,9410000000221,0,9420000000221,9430000000221,Count_Gathering,,30,CollectDungeon,,29,0,Adena,,3000,,,,,,,Assets,0,50,Item,500062,5,ExpAgitCrystal,,70
1306,Prestigious,Guild,161000018100,9410000000241,2005,9420000001301,9430000000243,If_AdenaDungeonClearGrade_SS,Hard,2,AdenaDungeon,,113,0,Adena,,3000,,,,,,,Battle,1,50,Item,500063,5,Firewood,,35
1307,Basic,Guild,161000018100,9410000000251,0,9420000000251,9430000000251,Count_AdenaDungeonCombo,50,1,AdenaDungeon,,113,0,Item,490022,1,,,,,,,Battle,1,50,Item,500081,15,ExpAgitCrystal,,70
1308,Prestigious,Guild,161000018200,9410000000133,731000003038,9420000001308,9430000001308,If_ExpDungeonClearGrade_SSS,Hard,2,ExpDungeon,,112,0,Item,490022,1,,,,,,,Battle,1,50,Firewood,,35,ExpAgitCrystal,,70
1401,Basic,Guild,10220136,9410000000006,10301001,9420000001401,9430000001401,Count_KillMonsterTarget,301001,1,GuildDungeon,,116,0,Item,490022,1,,,,,,,Battle,0,50,ExpAgitCrystal,,70,Item,500061,7
1402,Expert,Guild,10220136,9410000000006,10301001,9420000001402,9430000001402,Count_KillMonsterTarget,301101,1,GuildDungeon,,116,0,Item,490022,1,,,,,,,Battle,0,50,Item,500061,7,Item,500062,5
1403,Expert,Guild,10220136,9410000000006,10301001,9420000001403,9430000001403,Count_KillMonsterTarget,301201,1,GuildDungeon,,116,0,Item,490022,1,,,,,,,Battle,0,50,Item,500062,5,Item,500063,5
1411,Basic,Guild,111000300001,9410000000006,10300001,9430000001411,9430000001411,Count_KillMonsterTarget,300001,1,GuildDungeon,,117,0,Item,500119,1,,,,,,,Battle,0,50,Item,500061,7,Item,500081,15
1412,Expert,Guild,111000300001,9410000000006,10300001,9430000001412,9430000001412,Count_KillMonsterTarget,300101,1,GuildDungeon,,117,0,Item,500119,1,,,,,,,Battle,0,50,Item,500062,5,Item,500081,15
1413,Expert,Guild,111000300001,9410000000006,10300001,9430000001413,9430000001413,Count_KillMonsterTarget,300201,1,GuildDungeon,,117,0,Item,500119,1,,,,,,,Battle,0,50,Item,500063,5,Item,500081,15
1421,Expert,Guild,9490000001421,9410000000006,10302001,9430000001421,9430000001421,Count_KillMonsterTarget,302001,1,GuildDungeon,,123,0,Adena,,3000,,,,,,,Battle,0,50,Item,500062,5,ExpAgitCrystal,,70
1422,Expert,Guild,9490000001421,9410000000006,10302001,9430000001422,9430000001422,Count_KillMonsterTarget,302101,1,GuildDungeon,,123,0,Adena,,3000,,,,,,,Battle,0,50,Item,500063,5,Firewood,,35
1423,Prestigious,Guild,9490000001421,9410000000006,10302001,9430000001423,9430000001423,Count_KillMonsterTarget,302201,1,GuildDungeon,,123,0,Item,490022,1,,,,,,,Battle,0,50,Item,500081,15,ExpAgitCrystal,,70
1491,Basic,Guild,111000011011,9410000000006,731000000186,9420000001491,9430000001491,Count_KillMonsterTarget,21099,1,,800201,,0,Item,490022,1,,,,,,,Battle,0,50,ExpAgitCrystal,,70,Item,500061,7
1501,Expert,Guild,0,9410000000331,0,9420000000331,9430000000331,Count_RuneLevelup,,10,RuneCarve,,16,0,Item,500119,1,,,,,,,Growth,0,50,Item,500081,15,Firewood,,35
1502,Basic,Guild,0,9410000000341,0,9420000000341,9430000000341,Count_RuneLevelup_Success,,5,RuneCarve,,16,0,Item,500119,1,,,,,,,Growth,0,50,Item,500061,7,Item,500081,15
1511,Basic,Guild,0,9410000001511,0,4003,9430000000351,Count_CraftingItem,Elixir,3,Elixir,,28,0,Item,500119,1,,,,,,,Growth,0,50,Item,500062,5,Item,500081,15
1521,Prestigious,Guild,0,9410000000401,1002,9420000001521,9430000000396,Count_AcquiredAdena,,150000,,,,0,Item,500119,1,,,,,,,Assets,0,50,Item,500063,5,Item,500081,15
1522,Expert,Guild,0,9410000000403,1005,9420000001521,9430000000397,Count_AcquiredItem,BloodCrystal,1000,EliteDungeon,,,0,Adena,,3000,,,,,,,Assets,0,50,Item,500061,7,Firewood,,35
1523,Basic,Guild,0,9410000000405,1016,9420000001521,9430000000400,Count_AcquiredItem,RedStarStone,100,EliteDungeon,,,0,Adena,,3000,,,,,,,Assets,0,50,Item,500062,5,ExpAgitCrystal,,70
1524,Expert,Guild,1025,9410000000251,1025,9420000001521,9430000000398,Count_AcquiredItem,MonsterCore,20,MonsterBook,,,0,Adena,,3000,,,,,,,Assets,0,50,Item,500063,5,Firewood,,35
1525,Prestigious,Guild,4016,9410000000251,4016,9420000001521,9430000000399,Count_AcquiredItem,SoulCrystal,7,EliteDungeon,,,0,Item,490022,1,,,,,,,Assets,0,50,Item,500081,15,ExpAgitCrystal,,70
1526,Basic,Guild,0,9410000001526,0,731000002503,9430000001526,Count_SoulCrystalLevelUp,,10,SoulCrystal,,,0,Item,490022,1,,,,,,,Assets,0,50,Firewood,,35,ExpAgitCrystal,,70
1527,Prestigious,Guild,9490000001527,9410000000251,10001,9420000000392,9430000001527,Count_AcquiredEqItemGrade,C,10,,,,0,Item,490022,1,,,,,,,Item,0,50,ExpAgitCrystal,,70,Item,500061,7
1528,Basic,Guild,9490000001528,9410000000251,10002,9420000000392,9430000000392,Count_AcquiredEqItemGrade,B,5,,,,0,Item,490022,1,,,,,,,Item,0,50,Item,500061,7,Item,500062,5
1529,Expert,Guild,9490000001529,9410000000251,10003,9420000000392,9430000000393,Count_AcquiredEqItemGrade,A,3,,,,0,Item,490022,1,,,,,,,Item,0,50,Item,500062,5,Item,500063,5
1530,Prestigious,Guild,9490000001530,9410000000251,10004,9420000001530,9430000001530,Count_AcquiredEqItemGrade,S,2,,,,0,Item,500119,1,,,,,,,Item,1,50,Item,500081,15,Firewood,,35
1541,Basic,Guild,0,9410000001541,0,9420000001541,9430000001541,Count_ItemDisassemble,All,3,ItemCraftingDisassemble,,,0,Item,500119,1,,,,,,,Item,0,50,Item,500061,7,Item,500081,15
1551,Prestigious,Guild,0,9410000001551,0,9420000000391,9430000000391,Count_AcquiredItem,Equipment,50,,,,0,Item,500119,1,,,,,,,Item,0,50,Item,500062,5,Item,500081,15
1552,Basic,Guild,731000003991,9410000000251,0,9420000001552,9430000001552,Count_AcquiredItem,PetEquipment,50,SummonStoneDungeon,,,0,Item,500119,1,,,,,,,Item,0,50,Item,500063,5,Item,500081,15
1601,Expert,Guild,0,711000000002,0,9420000001601,9430000001601,Count_ItemLevelUp,,10,BlackSmithLevelUp,,1,0,Adena,,3000,,,,,,,Item,0,50,Item,500061,7,Firewood,,35
