Id,GroupId,RequiredId,NameKey,DescKey,TaskType,TaskCount,RewardBloodCrystal,RewardAdena,RewardItemInfoId,RewardCount,RewardCountDesc,RewardIcon,AchievementIcon,AchievementGroupType,PlayerRewardType1,PlayerRewardInfold1,PlayerRewardCount1,PlayerRewardType2,PlayerRewardInfold2,PlayerRewardCount2,GuildRewardType1,GuildRewardInfold1,GuildRewardCount1,GuildRewardType2,GuildRewardInfold2,GuildRewardCount2
102018,5,102017,801000102011,802000102011,Count_KillMonster_Region,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,,Gludio,Adena,,12000,Item,490022,5,Item,919220,5,Item,1302001,30
102019,5,102018,801000102011,802000102011,Count_KillMonster_Region,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,,Gludio,Adena,,15000,Item,490022,5,Item,911191,6,Item,1302001,35
102021,6,,801000102021,802000102021,Count_KillMonster_Region,600,15,1000,911191,3,,Icon_SoulShot_01,,Gludio,Adena,,1000,Item,490022,1,Item,911191,2,Item,1302001,2
102022,6,102021,801000102021,802000102021,Count_KillMonster_Region,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,,Gludio,Adena,,2000,Item,490022,1,Item,919220,2,Item,1302001,5
102023,6,102022,801000102021,802000102021,Count_KillMonster_Region,6000,50,3000,911191,5,,Icon_SoulShot_01,,Gludio,Adena,,3000,Item,490022,1,Item,911191,3,Item,1302001,8
102024,6,102023,801000102021,802000102021,Count_KillMonster_Region,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,,Gludio,Adena,,4000,Item,490022,3,Item,919220,3,Item,1302001,10
102025,6,102024,801000102021,802000102021,Count_KillMonster_Region,20000,75,6000,911191,7,,Icon_SoulShot_01,,Gludio,Adena,,6000,Item,490022,3,Item,911191,4,Item,1302001,15
102026,6,102025,801000102021,802000102021,Count_KillMonster_Region,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,,Gludio,Adena,,8000,Item,490022,3,Item,919220,4,Item,1302001,20
102027,6,102026,801000102021,802000102021,Count_KillMonster_Region,45000,110,10000,911191,10,,Icon_SoulShot_01,,Gludio,Adena,,10000,Item,490022,5,Item,911191,5,Item,1302001,25
102028,6,102027,801000102021,802000102021,Count_KillMonster_Region,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,,Gludio,Adena,,12000,Item,490022,5,Item,919220,5,Item,1302001,30
102029,6,102028,801000102021,802000102021,Count_KillMonster_Region,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,,Gludio,Adena,,15000,Item,490022,5,Item,911191,6,Item,1302001,35
104011,7,,801000104011,802000104011,Count_KillMonster_Region,600,15,1000,911191,3,,Icon_SoulShot_01,,Gludio,Adena,,1000,Item,490022,1,Item,911191,2,Item,1302001,2
104012,7,104011,801000104011,802000104011,Count_KillMonster_Region,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,,Gludio,Adena,,2000,Item,490022,1,Item,919220,2,Item,1302001,5
104013,7,104012,801000104011,802000104011,Count_KillMonster_Region,6000,50,3000,911191,5,,Icon_SoulShot_01,,Gludio,Adena,,3000,Item,490022,1,Item,911191,3,Item,1302001,8
104014,7,104013,801000104011,802000104011,Count_KillMonster_Region,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,,Gludio,Adena,,4000,Item,490022,3,Item,919220,3,Item,1302001,10
104015,7,104014,801000104011,802000104011,Count_KillMonster_Region,20000,75,6000,911191,7,,Icon_SoulShot_01,,Gludio,Adena,,6000,Item,490022,3,Item,911191,4,Item,1302001,15
104016,7,104015,801000104011,802000104011,Count_KillMonster_Region,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,,Gludio,Adena,,8000,Item,490022,3,Item,919220,4,Item,1302001,20
104017,7,104016,801000104011,802000104011,Count_KillMonster_Region,45000,110,10000,911191,10,,Icon_SoulShot_01,,Gludio,Adena,,10000,Item,490022,5,Item,911191,5,Item,1302001,25
104018,7,104017,801000104011,802000104011,Count_KillMonster_Region,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,,Gludio,Adena,,12000,Item,490022,5,Item,919220,5,Item,1302001,30
104019,7,104018,801000104011,802000104011,Count_KillMonster_Region,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,,Gludio,Adena,,15000,Item,490022,5,Item,911191,6,Item,1302001,35
105021,9,,801000105021,802000105021,Count_DonationCrystal,2250,15,1000,911191,3,,Icon_SoulShot_01,,GuildGrowth,Adena,,1000,Item,490022,1,BloodCrystal,,15000,Item,1302001,2
105022,9,105021,801000105021,802000105021,Count_DonationCrystal,10500,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,,GuildGrowth,Adena,,2000,Item,490022,1,Exp,,2500,Item,1302001,5
105023,9,105022,801000105021,802000105021,Count_DonationCrystal,22500,50,3000,911191,5,,Icon_SoulShot_01,,GuildGrowth,Adena,,3000,Item,490022,1,RedGemStone,,7000,Item,1302001,8
105024,9,105023,801000105021,802000105021,Count_DonationCrystal,45000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,4000,Item,490022,3,Item,900007,2,Item,1302001,10
105025,9,105024,801000105021,802000105021,Count_DonationCrystal,75000,75,6000,911191,7,,Icon_SoulShot_01,,GuildGrowth,Adena,,6000,Item,490022,3,BloodCrystal,,20000,Item,1302001,15
105026,9,105025,801000105021,802000105021,Count_DonationCrystal,112500,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,,GuildGrowth,Adena,,8000,Item,490022,3,Exp,,5000,Item,1302001,20
105027,9,105026,801000105021,802000105021,Count_DonationCrystal,157500,110,10000,911191,10,,Icon_SoulShot_01,,GuildGrowth,Adena,,10000,Item,490022,5,RedGemStone,,8000,Item,1302001,25
105028,9,105027,801000105021,802000105021,Count_DonationCrystal,210000,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,12000,Item,490022,5,Exp,,7000,Item,1302001,30
105029,9,105028,801000105021,802000105021,Count_DonationCrystal,280000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,15000,Item,490022,5,Item,900007,3,Item,1302001,35
105031,10,,801000105031,802000105031,Count_ClanAttendanceCheck,9,15,1000,911191,3,,Icon_SoulShot_01,,GuildGrowth,Adena,,1000,Item,490022,1,BloodCrystal,,15000,Item,1302001,2
105032,10,105031,801000105031,802000105031,Count_ClanAttendanceCheck,28,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,,GuildGrowth,Adena,,2000,Item,490022,1,Exp,,2500,Item,1302001,5
105033,10,105032,801000105031,802000105031,Count_ClanAttendanceCheck,40,50,3000,911191,5,,Icon_SoulShot_01,,GuildGrowth,Adena,,3000,Item,490022,1,RedGemStone,,7000,Item,1302001,8
105034,10,105033,801000105031,802000105031,Count_ClanAttendanceCheck,75,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,4000,Item,490022,3,Item,900007,2,Item,1302001,10
105035,10,105034,801000105031,802000105031,Count_ClanAttendanceCheck,100,75,6000,911191,7,,Icon_SoulShot_01,,GuildGrowth,Adena,,6000,Item,490022,3,BloodCrystal,,20000,Item,1302001,15
105036,10,105035,801000105031,802000105031,Count_ClanAttendanceCheck,125,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,,GuildGrowth,Adena,,8000,Item,490022,3,Exp,,5000,Item,1302001,20
105037,10,105036,801000105031,802000105031,Count_ClanAttendanceCheck,180,110,10000,911191,10,,Icon_SoulShot_01,,GuildGrowth,Adena,,10000,Item,490022,5,RedGemStone,,8000,Item,1302001,25
105038,10,105037,801000105031,802000105031,Count_ClanAttendanceCheck,240,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,12000,Item,490022,5,Exp,,7000,Item,1302001,30
105039,10,105038,801000105031,802000105031,Count_ClanAttendanceCheck,315,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,15000,Item,490022,5,Item,900007,3,Item,1302001,35
105041,11,,801000105041,802000105041,Count_GreetingColleague,30,15,1000,911191,3,,Icon_SoulShot_01,,GuildGrowth,Adena,,1000,Item,490022,1,BloodCrystal,,15000,Item,1302001,2
105042,11,105041,801000105041,802000105041,Count_GreetingColleague,105,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,,GuildGrowth,Adena,,2000,Item,490022,1,Exp,,2500,Item,1302001,5
105043,11,105042,801000105041,802000105041,Count_GreetingColleague,200,50,3000,911191,5,,Icon_SoulShot_01,,GuildGrowth,Adena,,3000,Item,490022,1,RedGemStone,,7000,Item,1302001,8
105044,11,105043,801000105041,802000105041,Count_GreetingColleague,450,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,4000,Item,490022,3,Item,900007,2,Item,1302001,10
105045,11,105044,801000105041,802000105041,Count_GreetingColleague,800,75,6000,911191,7,,Icon_SoulShot_01,,GuildGrowth,Adena,,6000,Item,490022,3,BloodCrystal,,20000,Item,1302001,15
105046,11,105045,801000105041,802000105041,Count_GreetingColleague,1250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,,GuildGrowth,Adena,,8000,Item,490022,3,Exp,,5000,Item,1302001,20
105047,11,105046,801000105041,802000105041,Count_GreetingColleague,1800,110,10000,911191,10,,Icon_SoulShot_01,,GuildGrowth,Adena,,10000,Item,490022,5,RedGemStone,,8000,Item,1302001,25
105048,11,105047,801000105041,802000105041,Count_GreetingColleague,2800,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,12000,Item,490022,5,Exp,,7000,Item,1302001,30
105049,11,105048,801000105041,802000105041,Count_GreetingColleague,3150,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,15000,Item,490022,5,Item,900007,3,Item,1302001,35
105061,12,,801000105061,802000105061,Count_AcquiredAdena,630000,15,1000,911191,3,,Icon_SoulShot_01,,GuildGrowth,Adena,,1000,Item,490022,1,BloodCrystal,,15000,Item,1302001,2
105062,12,105061,801000105061,802000105061,Count_AcquiredAdena,2450000,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,,GuildGrowth,Adena,,2000,Item,490022,1,Exp,,2500,Item,1302001,5
105063,12,105062,801000105061,802000105061,Count_AcquiredAdena,4900000,50,3000,911191,5,,Icon_SoulShot_01,,GuildGrowth,Adena,,3000,Item,490022,1,RedGemStone,,7000,Item,1302001,8
105064,12,105063,801000105061,802000105061,Count_AcquiredAdena,9450000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,4000,Item,490022,3,Item,900007,2,Item,1302001,10
105065,12,105064,801000105061,802000105061,Count_AcquiredAdena,16800000,75,6000,911191,7,,Icon_SoulShot_01,,GuildGrowth,Adena,,6000,Item,490022,3,BloodCrystal,,20000,Item,1302001,15
105066,12,105065,801000105061,802000105061,Count_AcquiredAdena,26250000,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,,GuildGrowth,Adena,,8000,Item,490022,3,Exp,,5000,Item,1302001,20
105067,12,105066,801000105061,802000105061,Count_AcquiredAdena,42000000,110,10000,911191,10,,Icon_SoulShot_01,,GuildGrowth,Adena,,10000,Item,490022,5,RedGemStone,,8000,Item,1302001,25
105068,12,105067,801000105061,802000105061,Count_AcquiredAdena,61250000,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,12000,Item,490022,5,Exp,,7000,Item,1302001,30
105069,12,105068,801000105061,802000105061,Count_AcquiredAdena,72000000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,15000,Item,490022,5,Item,900007,3,Item,1302001,35
105091,15,,801000105091,802000105091,Count_AcquiredItem,8400,15,1000,911191,3,,Icon_SoulShot_01,,GuildGrowth,Adena,,1000,Item,490022,1,BloodCrystal,,15000,Item,1302001,2
105092,15,105091,801000105091,802000105091,Count_AcquiredItem,24500,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,,GuildGrowth,Adena,,2000,Item,490022,1,Exp,,2500,Item,1302001,5
105093,15,105092,801000105091,802000105091,Count_AcquiredItem,42000,50,3000,911191,5,,Icon_SoulShot_01,,GuildGrowth,Adena,,3000,Item,490022,1,RedGemStone,,7000,Item,1302001,8
105094,15,105093,801000105091,802000105091,Count_AcquiredItem,73500,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,4000,Item,490022,3,Item,900007,2,Item,1302001,10
105095,15,105094,801000105091,802000105091,Count_AcquiredItem,112000,75,6000,911191,7,,Icon_SoulShot_01,,GuildGrowth,Adena,,6000,Item,490022,3,BloodCrystal,,20000,Item,1302001,15
105096,15,105095,801000105091,802000105091,Count_AcquiredItem,157500,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,,GuildGrowth,Adena,,8000,Item,490022,3,Exp,,5000,Item,1302001,20
105097,15,105096,801000105091,802000105091,Count_AcquiredItem,210000,110,10000,911191,10,,Icon_SoulShot_01,,GuildGrowth,Adena,,10000,Item,490022,5,RedGemStone,,8000,Item,1302001,25
105098,15,105097,801000105091,802000105091,Count_AcquiredItem,269500,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,12000,Item,490022,5,Exp,,7000,Item,1302001,30
105099,15,105098,801000105091,802000105091,Count_AcquiredItem,336000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,,GuildGrowth,Adena,,15000,Item,490022,5,Item,900007,3,Item,1302001,35
106011,16,,801000106011,802000106011,Count_KillMonster_Region,600,15,1000,911191,3,,Icon_SoulShot_01,,Dion,Adena,,1000,Item,490022,1,Item,900018,2,Item,1302001,2
106012,16,106011,801000106011,802000106011,Count_KillMonster_Region,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,,Dion,Adena,,2000,Item,490022,1,Item,911191,3,Item,1302001,5
106013,16,106012,801000106011,802000106011,Count_KillMonster_Region,6000,50,3000,911191,5,,Icon_SoulShot_01,,Dion,Adena,,3000,Item,490022,1,Item,919220,3,Item,1302001,8
106014,16,106013,801000106011,802000106011,Count_KillMonster_Region,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,,Dion,Adena,,4000,Item,490022,3,Item,900018,3,Item,1302001,10
106015,16,106014,801000106011,802000106011,Count_KillMonster_Region,20000,75,6000,911191,7,,Icon_SoulShot_01,,Dion,Adena,,6000,Item,490022,3,Item,911191,5,Item,1302001,15
106016,16,106015,801000106011,802000106011,Count_KillMonster_Region,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,,Dion,Adena,,8000,Item,490022,3,Item,919220,5,Item,1302001,20
106017,16,106016,801000106011,802000106011,Count_KillMonster_Region,45000,110,10000,911191,10,,Icon_SoulShot_01,,Dion,Adena,,10000,Item,490022,5,Item,900018,3,Item,1302001,25
106018,16,106017,801000106011,802000106011,Count_KillMonster_Region,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,,Dion,Adena,,12000,Item,490022,5,Item,911191,7,Item,1302001,30
106019,16,106018,801000106011,802000106011,Count_KillMonster_Region,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,,Dion,Adena,,15000,Item,490022,5,Item,919220,7,Item,1302001,35
107011,17,,801000107011,802000107011,Count_KillMonster_Region,600,15,1000,911191,3,,Icon_SoulShot_01,,TalkingIsland,Adena,,1000,Item,490022,1,Item,911191,2,Item,1302001,2
107012,17,107011,801000107011,802000107011,Count_KillMonster_Region,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,,TalkingIsland,Adena,,2000,Item,490022,1,Item,919220,2,Item,1302001,5
107013,17,107012,801000107011,802000107011,Count_KillMonster_Region,6000,50,3000,911191,5,,Icon_SoulShot_01,,TalkingIsland,Adena,,3000,Item,490022,1,Item,911191,3,Item,1302001,8
107014,17,107013,801000107011,802000107011,Count_KillMonster_Region,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,,TalkingIsland,Adena,,4000,Item,490022,3,Item,919220,3,Item,1302001,10
107015,17,107014,801000107011,802000107011,Count_KillMonster_Region,20000,75,6000,911191,7,,Icon_SoulShot_01,,TalkingIsland,Adena,,6000,Item,490022,3,Item,911191,4,Item,1302001,15
107016,17,107015,801000107011,802000107011,Count_KillMonster_Region,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,,TalkingIsland,Adena,,8000,Item,490022,3,Item,919220,4,Item,1302001,20
107017,17,107016,801000107011,802000107011,Count_KillMonster_Region,45000,110,10000,911191,10,,Icon_SoulShot_01,,TalkingIsland,Adena,,10000,Item,490022,5,Item,911191,5,Item,1302001,25
107018,17,107017,801000107011,802000107011,Count_KillMonster_Region,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,,TalkingIsland,Adena,,12000,Item,490022,5,Item,919220,5,Item,1302001,30
107019,17,107018,801000107011,802000107011,Count_KillMonster_Region,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,,TalkingIsland,Adena,,15000,Item,490022,5,Item,911191,6,Item,1302001,35
108011,18,,801000108011,802000108011,Count_KillMonster_Region,600,15,1000,911191,3,,Icon_SoulShot_01,,Dion,Adena,,1000,Item,490022,1,Item,900018,2,Item,1302001,2
108012,18,108011,801000108011,802000108011,Count_KillMonster_Region,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,,Dion,Adena,,2000,Item,490022,1,Item,911191,3,Item,1302001,5
108013,18,108012,801000108011,802000108011,Count_KillMonster_Region,6000,50,3000,911191,5,,Icon_SoulShot_01,,Dion,Adena,,3000,Item,490022,1,Item,919220,3,Item,1302001,8
108014,18,108013,801000108011,802000108011,Count_KillMonster_Region,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,,Dion,Adena,,4000,Item,490022,3,Item,900018,3,Item,1302001,10
108015,18,108014,801000108011,802000108011,Count_KillMonster_Region,20000,75,6000,911191,7,,Icon_SoulShot_01,,Dion,Adena,,6000,Item,490022,3,Item,911191,5,Item,1302001,15
108016,18,108015,801000108011,802000108011,Count_KillMonster_Region,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,,Dion,Adena,,8000,Item,490022,3,Item,919220,5,Item,1302001,20
108017,18,108016,801000108011,802000108011,Count_KillMonster_Region,45000,110,10000,911191,10,,Icon_SoulShot_01,,Dion,Adena,,10000,Item,490022,5,Item,900018,3,Item,1302001,25
108018,18,108017,801000108011,802000108011,Count_KillMonster_Region,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,,Dion,Adena,,12000,Item,490022,5,Item,911191,7,Item,1302001,30
