Id,ItemNameKey,MarketId,HighendEffect,TableInfoldList,ConditionFortressGrade,ItemType,ItemId,ProductValue,UnBindType,CostType,CostPropertyType,Cost,RequiredGuildLevel,GradeLimit,PurchaseLimit,PurchaseLimitValue,PurchaseLimitAddValueType,PurchaseLimitAddValueStartLevel,PurchaseLimitAddValue,RewardGuildCoin,IconTexture,Desc1Key,Desc2Key,DisplayOrder
104002,141000004002,GuildMasterBuff,0,,,GuildMasterBuff,302002,1,0,PayDiamond,Player,400,3,Master,Daily,1,None,0,,0,Icon_Shop_GuildMaster_02,142000004002,143000000001,40020
104003,141000004003,GuildMasterBuff,0,,,GuildMasterBuff,302003,1,0,PayDiamond,Player,400,5,Master,Daily,1,None,0,,0,Icon_Shop_GuildMaster_03,142000004003,143000000001,40030
201001,141000201001,CastleSiegeReady,0,,,CastleUpgrade,1001,1,0,GuildAdena,Guild,840000,1,Master,None,0,None,0,,0,Icon_Shop_HolyArtifact_01,142000201001,0,100
202001,141000202001,CastleSiegeReady,0,,,CastleUpgrade,1002,1,0,GuildAdena,Guild,1680000,1,Master,None,0,None,0,,0,Icon_Shop_HolyArtifact_01,142000202001,0,200
203001,141000203001,CastleSiegeReady,0,,,CastleUpgrade,1003,1,0,GuildAdena,Guild,2520000,1,Master,None,0,None,0,,0,Icon_Shop_HolyArtifact_01,142000203001,0,300
204001,141000204001,CastleSiegeReady,0,,,CastleUpgrade,1004,1,0,GuildAdena,Guild,3360000,1,Master,None,0,None,0,,0,Icon_Shop_HolyArtifact_01,142000204001,0,400
205001,141000205001,CastleSiegeReady,0,,,CastleUpgrade,1005,1,0,GuildAdena,Guild,4200000,1,Master,None,0,None,0,,0,Icon_Shop_HolyArtifact_01,142000205001,0,500
206001,141000206001,CastleSiegeReady,0,,,CastleUpgrade,2001,1,0,GuildAdena,Guild,350000,1,Master,None,0,None,0,,0,Icon_Shop_DefenseTower_01,142000206001,0,600
207001,141000207001,CastleSiegeReady,0,,,CastleUpgrade,2002,1,0,GuildAdena,Guild,700000,1,Master,None,0,None,0,,0,Icon_Shop_DefenseTower_01,142000207001,0,700
208001,141000208001,CastleSiegeReady,0,,,CastleUpgrade,2003,1,0,GuildAdena,Guild,1050000,1,Master,None,0,None,0,,0,Icon_Shop_DefenseTower_01,142000208001,0,800
209001,141000209001,CastleSiegeReady,0,,,CastleUpgrade,2004,1,0,GuildAdena,Guild,1400000,1,Master,None,0,None,0,,0,Icon_Shop_DefenseTower_01,142000209001,0,900
210001,141000210001,CastleSiegeReady,0,,,CastleUpgrade,2005,1,0,GuildAdena,Guild,1750000,1,Master,None,0,None,0,,0,Icon_Shop_DefenseTower_01,142000210001,0,1000
211001,141000211001,CastleSiegeReady,0,,,CastleUpgrade,3001,1,0,GuildAdena,Guild,210000,1,Master,None,0,None,0,,0,Icon_Shop_Trap_01,142000211001,0,1100
212001,141000212001,CastleSiegeReady,0,,,CastleUpgrade,3002,1,0,GuildAdena,Guild,420000,1,Master,None,0,None,0,,0,Icon_Shop_Trap_01,142000212001,0,1200
213001,141000213001,CastleSiegeReady,0,,,CastleUpgrade,3003,1,0,GuildAdena,Guild,630000,1,Master,None,0,None,0,,0,Icon_Shop_Trap_01,142000213001,0,1300
214001,141000214001,CastleSiegeReady,0,,,CastleUpgrade,3004,1,0,GuildAdena,Guild,840000,1,Master,None,0,None,0,,0,Icon_Shop_Trap_01,142000214001,0,1400
215001,141000215001,CastleSiegeReady,0,,,CastleUpgrade,3005,1,0,GuildAdena,Guild,1050000,1,Master,None,0,None,0,,0,Icon_Shop_Trap_01,142000215001,0,1500
301001,141000301001,Castle,,"2,3",,Item,1000301,1,1,GuildBloodCrystal,Guild,100000,1,Master,Weekly,1,None,0,,0,Icon_SummonGem_Raid_01_Shop,142000302001,143000301001,100
304001,141000304001,Castle,,"1,2,3",,Item,400000,1,1,GuildBloodCrystal,Guild,14000,1,Master,Weekly,5,None,0,,0,Icon_Shop_Protector_01,142000304001,143000304001,200
305001,141000305001,Castle,,"1,2,3",,Item,510004,1,1,GuildBloodCrystal,Guild,2500,1,Master,Daily,1,None,0,,0,Icon_Combine_Asset_Upgrade_04_Shop,142000306001,143000304001,300
306001,141000306001,Castle,,"2,3",,Item,510005,1,1,GuildBloodCrystal,Guild,2500,1,Master,Daily,1,None,0,,0,Icon_Combine_Asset_Upgrade_05_Shop,142000307001,143000301001,500
308001,141000308001,Castle,,"1,2,3",,Item,500051,30,1,GuildBloodCrystal,Guild,5000,1,Master,Daily,1,None,0,,0,Icon_Potion_Player_01_Shop,142000312001,143000304001,1100
309001,141000309001,Castle,,"1,2,3",,Item,500052,30,1,GuildBloodCrystal,Guild,5000,1,Master,Daily,1,None,0,,0,Icon_Potion_Player_02_Shop,142000312001,143000304001,1200
310001,141000310001,Castle,,"1,2,3",,Item,500053,30,1,GuildBloodCrystal,Guild,5000,1,Master,Daily,1,None,0,,0,Icon_Potion_Player_03_Shop,142000312001,143000304001,1300
311001,141000311001,Castle,,"1,2,3",,Item,500071,30,1,GuildBloodCrystal,Guild,5000,1,Master,Daily,1,None,0,,0,Icon_Potion_Player_00_Shop,142000312001,143000304001,1400
312001,141000312001,Castle,,"2,3",,Item,911052,1,1,GuildBloodCrystal,Guild,45000,1,Master,Weekly,3,None,0,,0,Icon_SelectBox_WeaponRecipe_Shop,142000313001,143000301001,400
313001,141000313001,Castle,,"1,2,3",,Item,911053,1,1,GuildBloodCrystal,Guild,45000,1,Master,Weekly,3,None,0,,0,Icon_SelectBox_ArmorRecipe_Shop,142000314001,143000304001,600
314001,141000314001,Castle,,3,,Item,1302006,70,1,GuildBloodCrystal,Guild,10000,1,Master,Weekly,3,None,0,,0,UI_Icon_CapeExpMaterial_Guild_03_Shop,142000315001,143000314001,700
318001,141000318001,Castle,,3,,Item,490026,1,1,GuildBloodCrystal,Guild,250000,1,Master,Weekly,1,None,0,,0,Icon_Transcendence_01,142000318001,143000314001,800
