Id,GipType,ContentsLockKeyword,TipTextKey,Texture,Texture_zh_TW,Texture_th_TH,Texture_id_ID
35,Manager1,,0,L10N/en/LoadingImage/22.jpg,L10N/zh-TW/LoadingImage/22_tw.jpg,L10N/th-TH/LoadingImage/22_th.jpg,L10N/id-ID/LoadingImage/22.jpg
36,Manager1,,0,L10N/en/LoadingImage/23.jpg,L10N/zh-TW/LoadingImage/23_tw.jpg,L10N/th-TH/LoadingImage/23_th.jpg,L10N/id-ID/LoadingImage/23.jpg
40,Manager2,,0,L10N/en/LoadingImage/27.jpg,L10N/zh-TW/LoadingImage/27_tw.jpg,L10N/th-TH/LoadingImage/27_th.jpg,L10N/id-ID/LoadingImage/27.jpg
41,Manager2,,0,L10N/en/LoadingImage/28.jpg,L10N/zh-TW/LoadingImage/28_tw.jpg,L10N/th-TH/LoadingImage/28_th.jpg,L10N/id-ID/LoadingImage/28.jpg
42,Friday,,0,L10N/en/LoadingImage/29.jpg,L10N/zh-TW/LoadingImage/29_tw.jpg,L10N/th-TH/LoadingImage/29_th.jpg,L10N/id-ID/LoadingImage/29.jpg
43,Friday,,0,L10N/en/LoadingImage/30.jpg,L10N/zh-TW/LoadingImage/30_tw.jpg,L10N/th-TH/LoadingImage/30_th.jpg,L10N/id-ID/LoadingImage/30.jpg
44,Friday,,0,L10N/en/LoadingImage/1026.jpg,L10N/zh-TW/LoadingImage/1026_tw.jpg,L10N/th-TH/LoadingImage/1026_th.jpg,L10N/id-ID/LoadingImage/1026.jpg
45,Friday,,0,L10N/en/LoadingImage/22.jpg,L10N/zh-TW/LoadingImage/22_tw.jpg,L10N/th-TH/LoadingImage/22_th.jpg,L10N/id-ID/LoadingImage/22.jpg
46,Friday,,0,L10N/en/LoadingImage/23.jpg,L10N/zh-TW/LoadingImage/23_tw.jpg,L10N/th-TH/LoadingImage/23_th.jpg,L10N/id-ID/LoadingImage/23.jpg
58,GuildAgit,,0,L10N/en/LoadingImage/58.jpg,L10N/zh-TW/LoadingImage/58_tw.jpg,L10N/th-TH/LoadingImage/58_th.jpg,L10N/id-ID/LoadingImage/58.jpg
59,GuildAgit,,0,L10N/en/LoadingImage/59.jpg,L10N/zh-TW/LoadingImage/59_tw.jpg,L10N/th-TH/LoadingImage/59_th.jpg,L10N/id-ID/LoadingImage/59.jpg
60,FreeFortress,,0,L10N/en/LoadingImage/71.jpg,L10N/zh-TW/LoadingImage/71.jpg,L10N/th-TH/LoadingImage/71.jpg,L10N/id-ID/LoadingImage/71.jpg
61,World,,0,L10N/en/LoadingImage/1017.jpg,L10N/zh-TW/LoadingImage/1017.jpg,L10N/th-TH/LoadingImage/1017.jpg,L10N/id-ID/LoadingImage/1017.jpg
62,World,,0,L10N/en/LoadingImage/1015.jpg,L10N/zh-TW/LoadingImage/1015.jpg,L10N/th-TH/LoadingImage/1015.jpg,L10N/id-ID/LoadingImage/1015.jpg
63,World,,0,L10N/en/LoadingImage/1016.jpg,L10N/zh-TW/LoadingImage/1016.jpg,L10N/th-TH/LoadingImage/1016.jpg,L10N/id-ID/LoadingImage/1016.jpg
1001,Max,,221000001001,LoadingImage/1001.jpg,LoadingImage/1001.jpg,LoadingImage/1001.jpg,LoadingImage/1001.jpg
1002,Max,,221000001002,LoadingImage/1002.jpg,LoadingImage/1002.jpg,LoadingImage/1002.jpg,LoadingImage/1002.jpg
1003,Max,,221000001003,LoadingImage/1003.jpg,LoadingImage/1003.jpg,LoadingImage/1003.jpg,LoadingImage/1003.jpg
1004,Max,,221000001004,LoadingImage/1004.jpg,LoadingImage/1004.jpg,LoadingImage/1004.jpg,LoadingImage/1004.jpg
1005,Max,,221000001005,LoadingImage/1005.jpg,LoadingImage/1005.jpg,LoadingImage/1005.jpg,LoadingImage/1005.jpg
1006,Max,,221000001006,LoadingImage/1006.jpg,LoadingImage/1006.jpg,LoadingImage/1006.jpg,LoadingImage/1006.jpg
1007,Max,,221000001007,LoadingImage/1007.jpg,LoadingImage/1007.jpg,LoadingImage/1007.jpg,LoadingImage/1007.jpg
1008,Max,,221000001008,LoadingImage/1008.jpg,LoadingImage/1008.jpg,LoadingImage/1008.jpg,LoadingImage/1008.jpg
1009,Max,,221000001009,LoadingImage/1009.jpg,LoadingImage/1009.jpg,LoadingImage/1009.jpg,LoadingImage/1009.jpg
1010,Max,,221000001010,LoadingImage/1010.jpg,LoadingImage/1010.jpg,LoadingImage/1010.jpg,LoadingImage/1010.jpg
1011,Max,,221000001011,LoadingImage/1011.jpg,LoadingImage/1011.jpg,LoadingImage/1011.jpg,LoadingImage/1011.jpg
1012,Max,,221000001012,LoadingImage/1012.jpg,LoadingImage/1012.jpg,LoadingImage/1012.jpg,LoadingImage/1012.jpg
1013,Max,,221000001013,LoadingImage/1013.jpg,LoadingImage/1013.jpg,LoadingImage/1013.jpg,LoadingImage/1013.jpg
1014,Max,,221000001014,LoadingImage/1014.jpg,LoadingImage/1014.jpg,LoadingImage/1014.jpg,LoadingImage/1014.jpg
1018,World,,0,L10N/en/LoadingImage/1018.jpg,L10N/zh-TW/LoadingImage/1018.jpg,L10N/th-TH/LoadingImage/1018.jpg,L10N/id-ID/LoadingImage/1018.jpg
1019,World,,0,L10N/en/LoadingImage/1019.jpg,L10N/zh-TW/LoadingImage/1019.jpg,L10N/th-TH/LoadingImage/1019.jpg,L10N/id-ID/LoadingImage/1019.jpg
1020,World,,0,L10N/en/LoadingImage/1020.jpg,L10N/zh-TW/LoadingImage/1020.jpg,L10N/th-TH/LoadingImage/1020.jpg,L10N/id-ID/LoadingImage/1020.jpg
