Id,GroupId,RequiredId,NameKey,DescKey,TaskType,TaskCount,TaskContentType,NpcAutoMoveID,RewardType,RewardItemInfoId,RewardCount,DelayTime,DialogNpcPortrait,DialogNpcNameKey,DialogKey
1423,Dwarf_R1,1422,741000001113,742000001113,Count_AcquiredEqItemGrade,5,,,Item,460008,2,1,Aimel,10010357,744000001113
1424,Dwarf_R1,1423,741000001114,742000001114,Count_Arena,1,Pvp,,Adena,,10000,0,Aimel,10010357,744000001114
1425,Dwarf_R1,1424,741000001115,742000001115,Count_AcquiredAdena,10000,,,Item,460008,3,0,Aimel,10010357,744000001115
1426,Dwarf_R1,1425,741000001116,742000001116,Count_ItemEnchantSuccess,1,BlackSmithEnchant,,Adena,,10000,1,Aimel,10010357,744000001116
1427,Dwarf_R1,1426,741000001117,742000001117,Count_KillMonsterTarget,1,,10001,Item,460008,3,0,Aimel,10010357,744000001117
1431,Dwarf_M1,,741000001111,742000001111,Count_KillMonster,50,,,Item,460008,2,0,,0,0
1432,Dwarf_M1,1431,741000001112,742000001112,Count_DailyDungeonClear,1,DailyDungeon,,Adena,,10000,0,Aimel,10010357,744000001112
1433,Dwarf_M1,1432,741000001113,742000001113,Count_AcquiredEqItemGrade,5,,,Item,460008,2,1,Aimel,10010357,744000001113
1434,Dwarf_M1,1433,741000001114,742000001114,Count_Arena,1,Pvp,,Adena,,10000,0,Aimel,10010357,744000001114
1435,Dwarf_M1,1434,741000001115,742000001115,Count_AcquiredAdena,10000,,,Item,460008,3,0,Aimel,10010357,744000001115
1436,Dwarf_M1,1435,741000001116,742000001116,Count_ItemEnchantSuccess,1,BlackSmithEnchant,,Adena,,10000,1,Aimel,10010357,744000001116
1437,Dwarf_M1,1436,741000001117,742000001117,Count_KillMonsterTarget,1,,10001,Item,460008,3,0,Aimel,10010357,744000001117
