Id,TransformActorType,RaceType,Resource,EquipmentEnchantLevel,WeaponInfoId,HelmetInfoId,ArmorInfoId,GlovesInfoId,BootsInfoId,Level,ReferencePcSkill,BasicAttackSkillInfoId,SkillLevelTier0,SkillLevelTier1,SkillLevelTier2,SkillLevelTier3,SkillInfoId1,SkillInfoId2,SkillInfoId3,SkillInfoId4,SkillInfoId5,SkillInfoId6,PresetSkillGroupInfoId
43,Player,Elf,BP_CharacterElf,30,140045,210085,220085,230085,240085,320,0,4,3,52,46,1,12231,12232,12233,30006,30011,12234,12003
44,Player,Elf,BP_CharacterElf,30,150045,210085,220085,230085,240085,320,0,5,3,52,46,1,12241,12242,12243,30006,30015,12245,12004
45,Player,Elf,BP_CharacterElf,30,160045,210095,220095,230095,240095,320,0,6,3,52,46,1,12132,12251,12252,30012,30001,12253,12005
46,Player,Elf,BP_CharacterElf,30,160045,210095,220095,230095,240095,320,0,6,3,52,46,1,12261,12262,12263,30012,30015,12265,12006
71,Player,DarkElf,BP_CharacterDarkElf,30,110045,210075,220075,230075,240075,320,0,1,3,52,46,1,13211,13212,13213,30006,30001,13214,13001
72,Player,DarkElf,BP_CharacterDarkElf,30,130045,210075,220075,230075,240075,320,0,3,3,52,46,1,13221,13222,13223,30014,30011,13225,13002
73,Player,DarkElf,BP_CharacterDarkElf,30,140045,210085,220085,230085,240085,320,0,4,3,52,46,1,13231,13232,13233,30006,30011,13234,13003
74,Player,DarkElf,BP_CharacterDarkElf,30,150045,210085,220085,230085,240085,320,0,5,3,52,46,1,13241,13242,13243,30006,30015,13245,13004
75,Player,DarkElf,BP_CharacterDarkElf,30,160045,210095,220095,230095,240095,320,0,6,3,52,46,1,13251,13252,13253,30012,30001,13254,13005
76,Player,DarkElf,BP_CharacterDarkElf,30,160045,210095,220095,230095,240095,320,0,6,3,52,46,1,13261,13262,13263,30012,30015,13265,13006
101,Player,Dwarf,BP_CharacterDwarf,30,110045,210075,220075,230075,240075,320,0,1,3,52,46,1,14113,14211,14212,30006,30001,14214,14001
102,Player,Dwarf,BP_CharacterDwarf,30,130045,210075,220075,230075,240075,320,0,3,3,52,46,1,14221,14222,14223,30014,30011,14224,14002
103,Player,Dwarf,BP_CharacterDwarf,30,140045,210085,220085,230085,240085,320,0,4,3,52,46,1,14231,14232,14233,30006,30011,14234,14003
104,Player,Dwarf,BP_CharacterDwarf,30,150045,210085,220085,230085,240085,320,0,5,3,52,46,1,14124,14241,14242,30006,30015,14243,14004
105,Player,Dwarf,BP_CharacterDwarf,30,160045,210095,220095,230095,240095,320,0,6,3,52,46,1,14251,14252,14253,30012,30001,14254,14005
106,Player,Dwarf,BP_CharacterDwarf,30,160045,210095,220095,230095,240095,320,0,6,3,52,46,1,14261,14262,14263,30012,30015,14264,14006
