Id,NameKey,MoveType,MoveSpeed,Distance,Angle,Count,HitCount,ExplosionCollisionUnitType,ExplosionCollisionUnitParam,Resource,SocketName,DirAlign
731371,0,,1500,800,0,1,10,Circle,"""radius"": 200",BP_PROJ_DoubleShot,Socket_Center,1
730311,0,Dynamic,600,3000,360,9,100,Circle,"""radius"": 30",BP_PROJ_Zaken,Socket_Center,1
1205,0,Dynamic,1500,750,0,1,1,Circle,"""radius"": 150",BP_PROJ_SpiritOfMoonlight,Socket_Fire_2,1
50221,0,Dynamic,2000,800,0,1,1,Circle,"""radius"": 210",BP_PROJ_GiantStatuePeltastAttack,Socket_Center,0
40020101,0,Dynamic,500,900,0,1,1,Circle,"""radius"": 100",BP_PROJ_OlMahumAcherSkill_01,Socket_Center,0
40020108,0,Dynamic,300,900,0,1,1,Circle,"""radius"": 300",BP_PROJ_NightmareEyeSkill_01,Socket_Center,0
40020130,0,Dynamic,1000,2000,360,4,1,Circle,"""radius"": 200",BP_PROJ_HagiosColumnSkill_01,Socket_Center,0
40020177,0,Dynamic,750,5000,0,1,1,Obb,"""left"":130, ""right"":130, ""front"":20, ""back"":20",BP_PROJ_HagiosBossSkill_05,Socket_Center,0
40020201,0,Dynamic,500,900,0,1,1,Circle,"""radius"": 100",BP_PROJ_OlMahumAcherSkill_01,Socket_Center,0
40020208,0,Dynamic,300,900,0,1,1,Circle,"""radius"": 300",BP_PROJ_NightmareEyeSkill_01,Socket_Center,0
40020230,0,Dynamic,1000,2000,360,4,1,Circle,"""radius"": 200",BP_PROJ_HagiosColumnSkill_01,Socket_Center,0
40020277,0,Dynamic,750,5000,0,1,1,Obb,"""left"":130, ""right"":130, ""front"":20, ""back"":20",BP_PROJ_HagiosBossSkill_05,Socket_Center,0
40020301,0,Dynamic,500,900,0,1,1,Circle,"""radius"": 100",BP_PROJ_OlMahumAcherSkill_01,Socket_Center,0
40020308,0,Dynamic,300,900,0,1,1,Circle,"""radius"": 300",BP_PROJ_NightmareEyeSkill_01,Socket_Center,0
40020330,0,Dynamic,1000,2000,360,5,1,Circle,"""radius"": 200",BP_PROJ_HagiosColumnSkill_01,Socket_Center,0
40020377,0,Dynamic,750,5000,0,1,1,Obb,"""left"":130, ""right"":130, ""front"":20, ""back"":20",BP_PROJ_HagiosBossSkill_05,Socket_Center,0
40020401,0,Dynamic,500,900,0,1,1,Circle,"""radius"": 100",BP_PROJ_OlMahumAcherSkill_01,Socket_Center,0
40020408,0,Dynamic,300,900,0,1,1,Circle,"""radius"": 300",BP_PROJ_NightmareEyeSkill_01,Socket_Center,0
40020430,0,Dynamic,1000,2000,360,5,1,Circle,"""radius"": 200",BP_PROJ_HagiosColumnSkill_01,Socket_Center,0
40020477,0,Dynamic,750,5000,0,1,1,Obb,"""left"":130, ""right"":130, ""front"":20, ""back"":20",BP_PROJ_HagiosBossSkill_05,Socket_Center,0
11245,0,Dynamic,2000,1150,,1,1,Circle,"""radius"": 350",BP_PROJ_SkillLightingArrow,Socket_Fire_2,1
132451,0,,750,700,,1,3,CenterObb,"""left"":100, ""right"":100, ""front"":800, ""back"":0200",BP_PROJ_None,Socket_Fire_2,0
132452,0,,750,700,76,1,3,CenterObb,"""left"":100, ""right"":100, ""front"":800, ""back"":0, ""angle"" : 65200",BP_PROJ_None,Socket_Fire_2,0
132453,0,,750,700,-76,1,3,CenterObb,"""left"":100, ""right"":100, ""front"":800, ""back"":0, ""angle"" : -65200",BP_PROJ_None,Socket_Fire_2,0
50224,0,,2000,800,,1,1,Circle,"""radius"": 130",BP_PROJ_SerpentSlave,Socket_Center,1
24500602,0,Dynamic,1200,2000,180,4,1,Circle,"""radius"": 130",BP_PROJ_IceSpear,Socket_Center,1
24500701,0,Dynamic,1200,2000,,1,1,Circle,"""radius"": 130",BP_PROJ_IceSpear,Socket_Center,1
24500603,0,Dynamic,1200,2000,180,4,1,Circle,"""radius"": 130",BP_PROJ_BloodArrow_2,Socket_Center,1
24500702,0,Dynamic,1200,2000,,1,1,Circle,"""radius"": 130",BP_PROJ_PowerShot,Socket_Center,1
24500604,0,Dynamic,1200,2000,180,4,1,Circle,"""radius"": 130",BP_PROJ_NightmareEyeSkill_02,Socket_Center,1
24500703,0,Dynamic,1200,2000,,1,1,Circle,"""radius"": 130",BP_PROJ_NightmareEyeSkill_02,Socket_Center,1
24601603,0,Dynamic,500,900,,1,1,Circle,"""radius"": 100",BP_PROJ_OlMahumAcherSkill_01,Socket_Center,0
24601605,0,Dynamic,1500,3000,120,6,10,Circle,"""radius"": 50",BP_PROJ_DoubleShot,Socket_Center,1
245011031,0,Dynamic,400,2000,60,6,10,Circle,"""radius"": 150",BP_PROJ_MoltenBowl02,Socket_Center,1
245012031,0,Dynamic,1000,2000,,1,1,Circle,"""radius"": 50",BP_PROJ_TranscferQuest,Socket_Center,1
245015051,0,Dynamic,1200,2000,,1,1,Circle,"""radius"": 130",BP_PROJ_IceSpear,Socket_Center,1
24801003,0,Dynamic,600,2000,,1,10,Circle,"""radius"": 75",BP_PROJ_CronosBossSkill_02,Socket_Center,1
24801005,0,Dynamic,600,2000,120,4,10,Circle,"""radius"": 50",BP_PROJ_CronosBossSkill_03,Socket_Center,1
45000405,0,,300,900,360,4,20,Obb,"""left"":100, ""right"":100, ""front"":200, ""back"":200",BP_PROJ_Sahara_03,Socket_Bottom,1
45000409,0,Dynamic,300,3000,,1,20,Circle,"""radius"": 300",BP_PROJ_GrandisSkill_02,Socket_Center,1
45000412,0,Dynamic,600,3000,,1,20,Circle,"""radius"": 30",BP_PROJ_Zaken,Socket_Center,1
45000415,0,,300,900,360,4,20,Obb,"""left"":100, ""right"":100, ""front"":200, ""back"":200",BP_PROJ_Sahara_03,Socket_Bottom,1
45000424,0,Dynamic,600,3000,360,12,100,Circle,"""radius"": 30",BP_PROJ_LuciferBossSkill_05,Socket_Center,1
