Id,WorldInfoId,PlaceNameKey,GroupId,Type
128,200002,161000200002,5,Normal
129,200011,161000000011,1,Normal
130,200011,161000000011,2,Normal
131,200011,161000000011,3,Normal
132,200011,161000000011,4,Normal
133,200011,161000000011,5,Normal
134,200011,161000000011,6,Normal
135,200011,161000000011,7,Normal
136,200200,161000200200,1,Normal
137,200200,161000200200,2,Normal
138,200206,151000020601,1,Normal
139,200206,151000020601,2,Normal
140,200010,161000200010,1,Normal
141,200010,161000200010,2,Normal
142,200010,161000200010,3,Normal
143,200010,161000200010,4,Normal
144,200010,161000200010,5,Normal
145,300201,691000090101,1,Protect
146,300201,691000090101,2,Protect
147,300203,691000090301,1,Protect
148,300203,691000090301,2,Protect
149,300205,691000090401,1,Protect
150,300205,691000090401,2,Protect
151,208,722000000127,1,Normal
152,208,722000000127,2,Normal
153,401,451000000051,2,Normal
154,401,451000000052,3,Normal
155,209,161000000209,1,Enable
156,210,161000000210,1,Normal
157,210,161000000210,2,Normal
158,211,161000000211,1,Normal
159,211,161000000211,2,Normal
160,212,161000000212,1,Enable
167,210206,151000020601,1,Normal
168,210206,151000020601,2,Normal
169,210207,151000020701,1,Normal
170,210207,151000020701,2,Normal
171,299995,151000001501,1,Normal
172,299995,151000001597,2,Protect
173,299995,451000000075,3,Normal
174,299995,451000000076,4,Normal
175,299995,151000001503,5,Normal
176,299995,451000000078,6,Normal
177,299996,451000000079,1,Normal
178,299996,151000001602,2,Normal
179,299996,151000001603,3,Normal
180,299997,151000001701,1,Normal
181,299997,451000000083,2,Normal
182,299997,151000001702,3,Normal
183,299997,451000000085,4,Normal
184,299997,451000000086,5,Normal
185,299997,151000001703,6,Normal
186,299997,451000000088,7,Protect
187,299997,451000000089,8,Normal
188,200003,151000001501,1,Normal
189,200003,151000001597,2,Protect
190,200003,451000000075,3,Normal
191,200003,451000000076,4,Normal
192,200003,151000001503,5,Normal
193,200003,451000000078,6,Normal
194,200004,151000001501,1,Normal
195,200004,151000001597,2,Protect
196,200004,451000000075,3,Normal
197,200004,451000000076,4,Normal
198,200004,151000001503,5,Normal
199,200004,451000000078,6,Normal
200,200005,151000001001,0,Normal
201,200005,151000001002,1,Normal
202,200005,451000000051,2,Normal
203,200005,451000000052,3,Normal
204,200005,451000000053,4,Normal
205,21000,451000000205,1,Protect
206,21000,451000000206,4,Protect
207,21000,451000000207,5,Protect
208,21000,451000000208,7,Protect
209,21000,451000000209,6,Protect
210,21000,451000000210,3,Protect
211,21000,451000000211,2,Protect
10000205,21020,451000000205,1,Protect
10000206,21020,451000000206,4,Protect
10000207,21020,451000000207,5,Protect
10000208,21020,451000000208,7,Protect
10000209,21020,451000000209,6,Protect
10000210,21020,451000000210,3,Protect
10000211,21020,451000000211,2,Protect
10000212,21030,451000000205,1,Protect
10000213,21030,451000000206,4,Protect
10000214,21030,451000000207,5,Protect
10000215,21030,451000000208,7,Protect
10000216,21030,451000000209,6,Protect
10000217,21030,451000000210,3,Protect
10000218,21030,451000000211,2,Protect
