ID,GroupID,SkillNameKey,SkillIcon,SkillDescKey
58,30132,1105000000058,Icon_Skill_Active_13261,1106000000058
59,30142,1105000000043,Icon_Debuff_Trisha_01,1106000000043
60,30142,1105000000044,Icon_Debuff_Trisha_02,1106000000054
61,30142,1105000000045,Icon_Skill_Active_13224,1106000000045
62,30142,1105000000046,Icon_Debuff_Taunt,1106000000046
63,30142,1105000000047,Icon_Skill_Passive_21221,1106000000047
64,30142,1105000000058,Icon_Skill_Active_13261,1106000000058
72,30211,1105000000060,Icon_Skill_Active_10002,1106000000060
73,30211,1105000000061,Icon_Skill_Active_10001,1106000000061
74,30212,1105000000062,Icon_Skill_Active_10111,1106000000062
75,30212,1105000000063,Icon_Skill_Active_11253,1106000000063
76,30212,1105000000064,Icon_Skill_Unique_30005,1106000000064
77,30221,1105000000060,Icon_Skill_Active_10002,1106000000060
78,30221,1105000000061,Icon_Skill_Active_10001,1106000000061
79,30222,1105000000062,Icon_Skill_Active_10111,1106000000062
80,30222,1105000000063,Icon_Skill_Active_11253,1106000000063
81,30222,1105000000064,Icon_Skill_Unique_30005,1106000000064
82,30231,1105000000060,Icon_Skill_Active_10002,1106000000060
83,30231,1105000000061,Icon_Skill_Active_10001,1106000000061
84,30232,1105000000062,Icon_Skill_Active_10111,1106000000062
85,30232,1105000000063,Icon_Skill_Active_11253,1106000000063
86,30232,1105000000064,Icon_Skill_Unique_30005,1106000000064
87,30241,1105000000060,Icon_Skill_Active_10002,1106000000060
88,30241,1105000000061,Icon_Skill_Active_10001,1106000000061
89,30242,1105000000062,Icon_Skill_Active_10111,1106000000062
90,30242,1105000000063,Icon_Skill_Active_11253,1106000000063
91,30242,1105000000064,Icon_Skill_Unique_30005,1106000000064
92,30151,1105000000065,Icon_Debuff_Leonard_01,1106000000065
93,30151,1105000000066,Icon_Buff_MaxHP,1106000000066
94,30151,1105000000067,Icon_Debuff_KnockDown,1106000000067
95,30151,1105000000068,Icon_Debuff_Leonard_02,1106000000068
96,30151,1105000000069,Icon_Debuff_Stun,1106000000069
97,30152,1105000000070,Icon_Debuff_Trisha_01,1106000000070
98,30152,1105000000071,Icon_Debuff_Trisha_02,1106000000071
99,30152,1105000000072,Icon_Skill_Active_13224,1106000000072
100,30152,1105000000073,Icon_Debuff_Taunt,1106000000073
101,30152,1105000000074,Icon_Skill_Passive_21221,1106000000074
102,30152,1105000000075,Icon_Skill_Active_13261,1106000000075
