Id,EquipEffectDescription,EquipEffectBuffName,EquipEffectBuffDescription
7100601,"Nachdem Schaden durch ein Monster erlitten wurde, besteht eine <Fontblue>{ViewEffectParam1}</> Chance, einen Schild zu aktivieren, der <Fontblue>12 Sek.</> lang hält. Verteidigt <Fontblue>{ViewEffectParam2} Mal</> gegen den Fertigkeitsangriff eines Monsters, solange der Schild aktiv ist.

(Effekt wird einmal alle 3 Min. aktiviert)
(Gilt in: Feld / Weltboss / Elite-Dungeon / Zeit-Rift / Klan-Dungeon / Monster-Dungeon / Turm der Anmaßung / Tagesdungeon / Entnahmegrube / Tempelwächter / Adena-Dungeon / Beschwörungskreis)",Effekt des Umhangs der Roten Zerstörung,"Nachdem Schaden durch ein Monster erlitten wurde, besteht eine <Fontblue>{ViewEffectParam1}</> Chance, einen Schild zu aktivieren, der den <Fontblue>Fertigkeitsangriff eines Monsters {ViewEffectParam2} Mal</> blockiert. Abklingzeit: 3 Min."
7100602,@7100601,@7100601,@7100601
7100603,@7100601,@7100601,@7100601
7100604,@7100601,@7100601,@7100601
7100605,@7100601,@7100601,@7100601
7100606,@7100601,@7100601,@7100601
7100607,@7100601,@7100601,@7100601
7100608,@7100601,@7100601,@7100601
7100609,@7100601,@7100601,@7100601
7100610,@7100601,@7100601,@7100601
7100611,@7100601,@7100601,@7100601
7100612,@7100601,@7100601,@7100601
7100613,@7100601,@7100601,@7100601
7100614,@7100601,@7100601,@7100601
7100615,@7100601,@7100601,@7100601
7100616,@7100601,@7100601,@7100601
7100617,@7100601,@7100601,@7100601
7100618,@7100601,@7100601,@7100601
7100619,@7100601,@7100601,@7100601
7100620,@7100601,@7100601,@7100601
7100621,@7100601,@7100601,@7100601
7100622,@7100601,@7100601,@7100601
7100623,@7100601,@7100601,@7100601
7100624,@7100601,@7100601,@7100601
7100625,@7100601,@7100601,@7100601
7100626,@7100601,@7100601,@7100601
7100627,@7100601,@7100601,@7100601
7100628,@7100601,@7100601,@7100601
7100629,@7100601,@7100601,@7100601
7100630,@7100601,@7100601,@7100601
7100701,"Nachdem Schaden durch einen Spieler erlitten wurde, besteht eine <Fontblue>{ViewEffectParam1}</> Chance, einen Schild zu aktivieren, der <Fontblue>7 Sek.</> lang hält. Verteidigt <Fontblue>{ViewEffectParam2} Mal</> gegen seltene Fertigkeiten, solange der Schild aktiv ist.

(Effekt wird einmal alle 5 Min. aktiviert)
(Gilt in: Arena / Ehrenhaftes Schlachtfeld / Festenbelagerung / Burgbelagerung / Geplänkel-Arena / Klanhalle / Entnahmegrube)",Effekt des Umhangs des Tugendhaften Blutes,"Nachdem Schaden durch einen Spieler erlitten wurde, besteht eine <Fontblue>{ViewEffectParam1}</> Chance, einen Schild zu aktivieren, der einen <Fontblue>seltenen Fertigkeitsangriff {ViewEffectParam2} Mal</> blockiert. Abklingzeit: 5 Min."
7100702,@7100701,@7100701,@7100701
7100703,@7100701,@7100701,@7100701
7100704,@7100701,@7100701,@7100701
7100705,@7100701,@7100701,@7100701
7100706,@7100701,@7100701,@7100701
7100707,@7100701,@7100701,@7100701
7100708,@7100701,@7100701,@7100701
7100709,@7100701,@7100701,@7100701
7100710,@7100701,@7100701,@7100701
7100711,@7100701,@7100701,@7100701
7100712,@7100701,@7100701,@7100701
7100713,@7100701,@7100701,@7100701
7100714,@7100701,@7100701,@7100701
7100715,@7100701,@7100701,@7100701
7100716,@7100701,@7100701,@7100701
7100717,@7100701,@7100701,@7100701
7100718,@7100701,@7100701,@7100701
7100719,@7100701,@7100701,@7100701
7100720,@7100701,@7100701,@7100701
7100721,@7100701,@7100701,@7100701
7100722,@7100701,@7100701,@7100701
7100723,@7100701,@7100701,@7100701
7100724,@7100701,@7100701,@7100701
7100725,@7100701,@7100701,@7100701
7100726,@7100701,@7100701,@7100701
7100727,@7100701,@7100701,@7100701
7100728,@7100701,@7100701,@7100701
7100729,@7100701,@7100701,@7100701
7100730,@7100701,@7100701,@7100701
