Id,Name,Description,DescParam
2000600,Monster-Tagebuch,"Wird bei Abschluss des Erfolges ""({DescParam})"" aktiviert.","Kodex der Region ""Kreischendes Heiligtum"""
2000700,Wertsachen-Enthusiast,"Wird bei Abschluss des Erfolges ""Sowas schon mal gesehen? (Ebene {DescParam})"" aktiviert.",10
2000900,Glückspilz,"Wird bei Abschluss des Erfolges ""Möge dir das Glück hold sein (Ebene {DescParam})"" aktiviert.",10
2001000,Reitbegleiter-Trainer,"Wird bei Abschluss des Erfolges ""Stärker und unerbittlicher (Ebene {DescParam})"" aktiviert.",10
2001100,Geisterschutz,"Wird bei Abschluss des Erfolges ""Notwendigkeit zum Kampf (Ebene {DescParam})"" aktiviert.",10
2001200,Forensischer Ermittler,"Wird bei Abschluss des Erfolges ""Anderes Blut (Ebene {DescParam})"" aktiviert.",10
2001300,Sicherheit geht vor,"Wird bei Abschluss des Erfolges ""Zum sicheren Weg (Ebene {DescParam})"" aktiviert.",10
2001400,Meister der Tarnung,"Wird bei Abschluss des Erfolges ""Es ist hart, temperamentvoll zu sein (Ebene {DescParam})"" aktiviert.",10
2001500,Waffenmeister,"Wird bei Abschluss des Erfolges ""Stoff der Legenden (Ebene {DescParam})"" aktiviert.",10
2001600,Rüstungsmeister,"Wird bei Abschluss des Erfolges ""Schriftrolle aus süßen Träumen (Ebene {DescParam})"" aktiviert.",10
2001800,Kombinierer,"Wird bei Abschluss des Erfolges ""Unendliche Ausrüstungsentwicklung (Ebene {DescParam})"" aktiviert.",10
2001900,Juwelenmeister,"Wird bei Abschluss des Erfolges ""Hab meine Schriftrolle gefunden (Ebene {DescParam})"" aktiviert.",10
2002000,Schlächter,"Wird bei Abschluss des Erfolges ""Ein legendäres Monster besiegt (Ebene {DescParam})"" aktiviert.",10
2002100,Verbesserungsmeister,"Wird bei Abschluss des Erfolges ""Es ist ganz anders (Ebene {DescParam})"" aktiviert.",10
3000200,Schneidiger Wettstreiter,@1000800,100
3000300,Überragender Wettstreiter,@1000900,100
3000500,Kluger Forscher,@1001000,100
3000900,Spezialist,"Wird bei Abschluss des Erfolges ""Wie man besondere Ausrüstung bekommt (Ebene {DescParam})"" aktiviert.",10
3001000,Limit-Breaker,"Wird bei Abschluss des Erfolges ""Ist das alles? (Ebene {DescParam})"" aktiviert.",10
3100100,Festenkommandant,"Wird erlangt, wenn du der {DescParam} des Klans bist, der die Feste kontrolliert.
(Wird getragen, solange du die Bedingungen erfüllst.)",Ältester
3100200,Festenwächter,@3100100,Mitglied
4100100,Festenkommandant,@3100100,Anführer
4101000,Die zehn Wettstreiter,"Wird erlangt, wenn du Rang #{DescParam} oder höher in den Arenaranglisten belegst.
(Wird getragen, solange du die Bedingungen erfüllst.)",10
4101100,Die zehn Eroberer,"Wird erlangt, wenn du Rang #{DescParam} oder höher in den Kampfkraftranglisten belegst.
(Wird getragen, solange du die Bedingungen erfüllst.)",10
4101200,Anerkannter Forscher,"Wird erlangt, wenn du Rang #{DescParam} oder höher in den Levelranglisten belegst.
(Wird getragen, solange du die Bedingungen erfüllst.)",10
5100200,Duellkönig,"Wird erlangt, wenn du Rang #{DescParam} in den Arenaranglisten belegst.
(Wird getragen, solange du die Bedingungen erfüllst.)",1
5100300,Ich bin am stärksten,"Wird erlangt, wenn du Rang #{DescParam} in den Kampfkraftranglisten belegst.
(Wird getragen, solange du die Bedingungen erfüllst.)",1
5100400,Erleuchtet,"Wird erlangt, wenn du Rang #{DescParam} in den Levelranglisten belegst.
(Wird getragen, solange du die Bedingungen erfüllst.)",1
30000000,Erster Vorkämpfer,"Titel mit beschränkter Auflage, der für Spieler erhältlich ist, die ihre Pre-Registrierung abgeschlossen haben.",
30000010,Klanförderer,"Ein Ehrentitel, der Klanmitgliedern verliehen wird, die einen erheblichen Beitrag für ihren Klan leisten.",
