ID,SkillName,SkillDesc
17,@5,"<RedBold>Рамог</> перемещается в центр, а затем
наносит урон по площади на
<YellowBold>270 градусов вокруг себя</>.
После применения эта способность
<YellowBold>последовательно активируется 4 раза</>.
При каждой активации меняется
направление. Цели, которых
задело разорение, попадают
под действие <YellowBold>возгорания</>.

Цели, на которые действует эффект
<YellowBold>возгорания</>, получат <YellowBold>дополнительный
урон на 1 возгорание</> после
<YellowBold>взрыва</> <RedBold>золы Паагрио</>.
Эффект возгорания суммируется до 5 раз.

<YellowBold>- В зависимости от своего здоровья</>,
<YellowBold>Рамога может атаковать под разным углом.</>"
18,@6,"<RedBold>Рамог</> перемещается в центр, затем
призывает <RedBold>золу Паагрио</>.

Призванная <RedBold>зола Паагрио</> движется по
направлению к <RedBold>Рамогу</>. Сразу после
контакта золы с <RedBold>Рамогом</> происходит
мощный взрыв, наносящий огромный урон всему,
что находится в пределах видимости.

Цели, на которые воздействует
<YellowBold>возгорание</>, получат <YellowBold>урон,</>
<YellowBold>пропорциональный количеству эффектов возгорания</>.

<YellowBold>- Призываются 2 комплекта золы Паагрио.</>"
19,@1,@1
20,@2,@14
21,@3,@3
22,@4,@4
23,@5,@17
24,@6,@18
25,Колотая рана,"Пронзает плоть противника мечом,
<YellowBold>снижая защиту</>.
Суммируется до 3 раз."
26,Взрыв крови,"<YellowBold>Призывает сгустки крови,</> которые
формируются из <YellowBold>колотой раны</> врага.
Призванные <RedBold>сгустки крови</> движутся к
ближайшим врагам и <YellowBold>самоуничтожаются</>."
27,Анемия,"Сражаясь в продолжительных битвах и
используя магию крови, вампиры
становятся <YellowBold>уязвимы</> и получают
<YellowBold>дополнительный урон</>."
28,Мощная кража HP,"Благодаря <YellowBold>анемии</> вампиры могут
насильно <YellowBold>высасывать большое количество</>
<YellowBold>крови</> у ближайших врагов.
Единственный способ этого избежать —
нанести на тело <YellowBold>вампирскую кровь</>
и <YellowBold>обмануть кровавую магию вампира</>."
29,@25,@25
30,@26,@26
31,@27,@27
32,@28,@28
33,@25,"Пронзает плоть противника мечом, <YellowBold>снижая защиту</>.

<YellowBold>- Теперь эффект суммируется до 5 раз.</>"
34,@26,"Вытягивает кровь из <YellowBold>колотой раны</> врага, чтобы <YellowBold>призвать сгусток крови</>.
Призванный <RedBold>сгусток крови</> ищет ближайших врагов и <YellowBold>самоуничтожается</> возле них.

<YellowBold>- Самоуничтожается и создает кипящую кровь.</>
<YellowBold>- Кипящая кровь наносит урон при контакте.</>"
35,@27,@27
36,@28,@28
37,Кровавый ад,"Леонард впадет в отчаяние, когда его <YellowBold>HP упадет до 50%</>.
Отчаявшись, он <YellowBold>призовет множество сгустков крови</> и ринется в самоубийственную атаку."
38,@25,"Пронзает плоть противника мечом, <YellowBold>снижая защиту</>.

<YellowBold>- Суммируется до 5 раз.</>"
39,@26,@34
40,@27,@27
41,@28,@28
42,@37,@37
43,Вампиризм,"Использует кровавую магию, чтобы посте-
пенно превратить противника в вампира.
Трансформация цели произойдет в <YellowBold>3 этапа</>.
На каждом этапе <YellowBold>атк. будет повышаться</>,
а <YellowBold>защ., — снижаться</>."
44,Вампирское превращение,"Цель, на которую <YellowBold>трижды</> воздействовал
эффект <YellowBold>вампиризма</>, на время
превратится в вампира и <YellowBold>атакует</>
<YellowBold>товарищей по команде</>."
45,Восполнение крови,"В продолжительных битвах вампиры,
которым требуется кровь для
использования магии, будут
<YellowBold>превращаться в летучих мышей</>
и сбегать, чтобы восполнить кровь.
<RedBold>Летучие мыши</> отправятся к трупам
солдат из <BlueBold>передовой группы Гирана</> и <YellowBold>3</>
<YellowBold>раза выполнят Кражу жизни</>."
46,Кровавая ярость,"<RedBold>Летучие мыши</> принесут полученную кровь
Трише. <RedBold>Триша</> <YellowBold>восстановит здоровье</>
пропорционально количеству летучих мышей,
успешно выполнивших свою задачу,
а также <YellowBold>временно получит силу</>."
47,Прибытие Закена,"<YellowBold>Через 5 минут битвы</> магия призыва
выполнит свою задачу, и <YellowBold>прибудет Закен</>.
Закен <YellowBold>уничтожит всех искателей</>
<YellowBold>приключений</>, которые угрожают Трише."
48,@43,@43
49,@44,@44
50,@45,@45
51,@46,@46
52,@47,@47
53,@43,@43
54,@44,"Цель, на которую <YellowBold>трижды</> воздействовал эффект
<YellowBold>вампиризма</>, временно превратится в вампира и <YellowBold>атакует товарищей по команде</>.

<YellowBold>- Цели, превращенные в вампиров, станут сильнее.</>"
55,@45,@45
56,@46,@46
57,@47,@47
58,Поток крови,"Триша, оказавшись в безвыходной ситуации,
призовет гигантскую <YellowBold>волну крови</>."
59,@43,@43
60,@44,@54
61,@45,@45
62,@46,@46
63,@47,@47
64,@58,@58
